| Military | Georgia |
| --- | --- |
| Military branches: | Georgian Armed Forces: Land Forces (include Air and Air Defense Forces); separatist Abkhazia Armed Forces: Ground Forces, Air Forces; separatist South Ossetia Armed Forces |
| Military branches: | note: Georgian naval forces have been incorporated into the coast guard, which is not part of the Defense Ministry (2011) |
| Military service age and obligation: | 18 to 34 years of age for compulsory and voluntary active duty military service; conscript service obligation - 18 months (2005) |
| Manpower available for military service: | males age 16-49: 1,080,840 |
| Manpower available for military service: | females age 16-49: 1,122,031 (2010 est.) |
| Manpower fit for military service: | males age 16-49: 893,003 |
| Manpower fit for military service: | females age 16-49: 931,683 (2010 est.) |
| Manpower reaching militarily significant age annually: | male: 29,723 |
| Manpower reaching militarily significant age annually: | female: 27,242 (2010 est.) |
| Military expenditures: | 1.9% of GDP (2010 est.) |
