| Military and Security | Kyrgyzstan |
| --- | --- |
| Military and security forces: | Kyrgyz Armed Forces: Land Forces, Air Defense Forces, National Guard; State Border Service; Internal Troops (2019) |
| Military expenditures: | 1.5% of GDP (2019) |
| Military expenditures: | 1.6% of GDP (2018) |
| Military expenditures: | 1.6% of GDP (2017) |
| Military expenditures: | 1.7% of GDP (2016) |
| Military expenditures: | 1.8% of GDP (2015) |
| Military and security service personnel strengths: | the Kyrgyz Armed Forces have approximately 11,000 active duty troops (8,500 Land Forces; 2,500 Air Force/Air Defense) (2019 est.) |
| Military equipment inventories and acquisitions: | the Kyrgyz Armed Forces' inventory is comprised of older Russian and Soviet-era equipment; outside of a small delivery by China in 2019, Russia continues to be the only supplier of weapons systems to Kyrgyzstan (2020) |
| Military deployments: | contributes a battalion-sized unit to CSTO's Rapid Reaction Force (2019 est.) |
| Military service age and obligation: | 18-27 years of age for compulsory or voluntary male military service in the Armed Forces or Interior Ministry; 1-year service obligation (9 months for university graduates), with optional fee-based 3-year service in the call-up mobilization reserve; women may volunteer at age 19; 16-17 years of age for military cadets, who cannot take part in military operations (2016) |
