| Military and Security | Thailand |
| --- | --- |
| Military and security forces: | Royal Thai Armed Forces (Kongthap Thai, RTARF): Royal Thai Army (Kongthap Bok Thai, RTA; includes Thai Rangers (Thahan Phrahan)), Royal Thai Navy (Kongthap Ruea Thai, RTN; includes Royal Thai Marine Corps), Royal Thai Air Force (Kongthap Akaat Thai, RTAF); Interior Ministry paramilitary forces: Volunteer Defense Corps (2019) |
| Military and security forces: | note: the Thai Rangers (aka Thahan Phrahan or 'Hunter Soldiersâ€™) is a paramilitary force formed in 1978 to clear Communist Party of Thailand guerrillas from mountain strongholds in the country's northeast; it is a light infantry force led by regular officers and non-commissioned officers and comprised of both fullâ€? and partâ€?time personnel; it conducts counterinsurgency operations in the southern, predominantly Muslim, region; on the eastern border with Laos and Cambodia, the Rangers have primary responsibility for border surveillance and protection |
| Military expenditures: | 1.3% of GDP (2019) |
| Military expenditures: | 1.4% of GDP (2018) |
| Military expenditures: | 1.6% of GDP (2017) |
| Military expenditures: | 1.6% of GDP (2016) |
| Military expenditures: | 1.4% of GDP (2015) |
| Military and security service personnel strengths: | estimates for the size of the Royal Thai Armed Forces (RTARF) vary; approximately 360,000 active duty personnel (245,000 Army; 70,000 Navy; 45,000 Air Force); est. 20,000 Thai Rangers (2019) |
| Military equipment inventories and acquisitions: | the RTARF has a diverse array of foreign-supplied weapons systems, including a large amount of obsolescent or second-hand US equipment; since 2015, the top suppliers are China, South Korea, Ukraine, and the US (2019 est.) |
| Military deployments: | 270 South Sudan (UNMISS) (2020) |
| Military service age and obligation: | 21 years of age for compulsory military service; 18 years of age for voluntary military service; males register at 18 years of age; 2-year conscript service obligation based on lottery (2018) |
| Military - note: | including the most recent in 2014, the military has conducted 12 successful coups and attempted an additional seven since the fall of absolute monarchy in 1932; since 2004, the military has fought against separatist insurgents in the southern provinces of Pattani, Yala, and Narathiwat, as well as parts of Songkhla; as of 2019, approximately 60,000 security forces, including large numbers of paramilitary troops such as the Thai Rangers, were stationed in the south (2019) |
