| Military and Security | Japan |
| --- | --- |
| Military and security forces: | Japan Self-Defense Force (JSDF): Ground Self-Defense Force (Rikujou Jieitai, GSDF; includes aviation), Maritime Self-Defense Force (Kaijou Jieitai, MSDF; includes naval aviation), Air Self-Defense Force (Koukuu Jieitai, ASDF); Japan Coast Guard (Ministry of Land, Transport, Infrastructure and Tourism) (2019) |
| Military expenditures: | 0.93% of GDP (2019) |
| Military expenditures: | 0.93% of GDP (2018) |
| Military expenditures: | 0.93% of GDP (2017) |
| Military expenditures: | 0.94% of GDP (2016) |
| Military expenditures: | 0.94% of GDP (2015) |
| Military and security service personnel strengths: | the Japanese Self Defense Force (JSDF) is comprised of approximately 240,000 active personnel (145,000 Ground; 45,000 Maritime; 45,000 Air; 4,000 Joint Forces); 14,000 Coast Guard; 56,000 reserves |
| Military and security service personnel strengths: | (2019 est.) |
| Military equipment inventories and acquisitions: | the JSDF is equipped with a mix of imported and domestically-produced equipment; Japan is capable of producing a wide range of air, ground, and naval weapons systems; the majority of its weapons imports are from the US and some domestically-produced weapons are US-origin and manufactured under license (2019) |
| Military deployments: | approximately 170 Djibouti (2020 ) |
| Military service age and obligation: | 18 years of age for voluntary military service; no conscription; mandatory retirement at age 53 for senior enlisted personnel and at 62 years for senior service officers (2012) |
