| Military and Security | Armenia |
| --- | --- |
| Military and security forces: | Armenian Armed Forces: Ground Forces (Armenian Army), Air Force, Air Defense; "Nagorno-Karabakh Republic": Nagorno-Karabakh Defense Army (2019) |
| Military expenditures: | 4.9% of GDP (2019) |
| Military expenditures: | 4.9% of GDP (2018) |
| Military expenditures: | 3.8% of GDP (2017) |
| Military expenditures: | 4.1% of GDP (2016) |
| Military expenditures: | 4.2% of GDP (2015) |
| Military and security service personnel strengths: | the Armenian Armed Forces have approximately 45,000 active troops (42,000 Army; 3,000 Air Force/Air Defense) (2019 est.) |
| Military equipment inventories and acquisitions: | the inventory of the Armenian Armed Forces (as well as the Nagorno-Karabakh Defense Army) includes mostly Russian and Soviet-era equipment; since 2010, almost all of Armenia's imported weapons have come from Russia (2019 ) |
| Military deployments: | 120 Afghanistan (NATO); contributes one motorized rifle regiment (approximately 2,000 personnel) to CSTO's Rapid Reaction Force (2020) |
| Military service age and obligation: | 18-27 years of age for voluntary or compulsory military service; 2-year conscript service obligation, which can be served as an officer upon deferment for university studies if enrolled in officer-producing program; 17 year olds are eligible to become cadets at military higher education institutes, where they are classified as military personnel (2019) |
