| Military and Security | Mongolia |
| --- | --- |
| Military and security forces: | Mongolian Armed Forces (Mongol ulsyn zevsegt huchin): Mongolian Army (includes Border Troops), Mongolian Air Force, National Center for Emergency and Disaster Relief (coordinates the military's efforts as first-responders for earthquakes, wildfires, and forest fires; contagious diseases; and snow and dust storms as well as severe winters (known as zud)); paramilitary forces: Internal Security Troops (2019) |
| Military expenditures: | 0.7% of GDP (2019) |
| Military expenditures: | 0.7% of GDP (2018) |
| Military expenditures: | 0.8% of GDP (2017) |
| Military expenditures: | 0.9% of GDP (2016) |
| Military expenditures: | 0.9% of GDP (2015) |
| Military and security service personnel strengths: | size estimates for the the Mongolian Armed Forces (MAF) vary; approximately 8,000 active duty troops (7,000 Army; 800 Air Force); est. 6,000 Border Guard; est. 1,200 Internal Security Troops (2019) |
| Military equipment inventories and acquisitions: | the MAF are armed with Soviet-era equipment supplemented by deliveries of second-hand Russian weapons; since 2010, Russia is the sole provider of armaments to Mongolia (2019 est.) |
| Military deployments: | 850 South Sudan (UNMISS); 230 Afghanistan (NATO) (2020) |
| Military service age and obligation: | 18-27 years of age for compulsory and voluntary military service; 1-year conscript service obligation in army or air forces or police for males only; after conscription, soldiers can contract into military service for 2 or 4 years; citizens can also voluntarily join the armed forces (2017) |
