| Military and Security | Romania |
| --- | --- |
| Military and security forces: | Romanian Armed Forces: Land Forces, Naval Forces, Air Force; Ministry of Internal Affairs: Romanian Gendarmerie (2019) |
| Military expenditures: | 2.04% of GDP (2019 est.) |
| Military expenditures: | 1.82% of GDP (2018) |
| Military expenditures: | 1.72% of GDP (2017) |
| Military expenditures: | 1.4% of GDP (2016) |
| Military expenditures: | 1.45% of GDP (2015) |
| Military and security service personnel strengths: | the Romanian Armed Forces have approximately 72,000 active duty personnel (40,000 Land Forces; 7,000 Naval Forces; 10,000 Air Force; 15,000 joint) (2019 est.) |
| Military equipment inventories and acquisitions: | the inventory of the Romanian Armed Forces is comprised mostly of Soviet-era and older domestically-produced weapons systems; there is also a smaller mix of Western-origin equipment; Italy, Portugal (second-hand fighter aircraft), and the US are the leading suppliers of armaments to Romania since 2010 (2019 est.) |
| Military deployments: | 740 Afghanistan (NATO); 240 Mali (MINUSMA/EUTM); up to 120 Poland (NATO) (2020) |
| Military service age and obligation: | conscription ended 2006; 18 years of age for male and female voluntary service; all military inductees (including women) contract for an initial 5-year term of service, with subsequent successive 3-year terms until age 36 (2015) |
