| Military and Security | Cameroon |
| --- | --- |
| Military and security forces: | Cameroon Armed Forces (Forces Armees Camerounaises, FAC): Army (L'Armee de Terre), Navy (Marine Nationale Republique, MNR, includes naval infantry), Air Force (Armee de l'Air du Cameroun, AAC), Gendarmerie, Presidential Guard (2019) |
| Military expenditures: | 1.1% of GDP (2019) |
| Military expenditures: | 1.1% of GDP (2018) |
| Military expenditures: | 1.3% of GDP (2017) |
| Military expenditures: | 1.3% of GDP (2016) |
| Military expenditures: | 1.3% of GDP (2015) |
| Military and security service personnel strengths: | size assessments for the Cameroon Armed Forces (FAC) vary widely; approximately 40,000 active duty troops; (25,000 Army, including the Presidential Guard; 2,000 Navy; 1,000 Air Force; 12,000 Gendarmerie) (2019 est.) |
| Military equipment inventories and acquisitions: | the FAC inventory includes a mix of mostly older or second-hand Chinese, Russian, and Western equipment, with a limited quantity of more modern weapons; since 2010, the top suppliers to the FAC are China, Russia, Spain, and the US (2019 est.) |
| Military deployments: | 750 Central African Republic (MINUSCA); MNJTF (approximately 2,000-2,500 troops committed; note - the national MNJTF troop contingents are deployed within their own country territories, although crossâ€?border operations occur occasionally) (2020) |
| Military service age and obligation: | 18-23 years of age for male and female voluntary military service; no conscription; high school graduation required; service obligation 4 years; periodic government calls for volunteers (2012) |
| Military - note: | the FAC is largely focused on the threat from the terror group Boko Haram along its frontiers with Nigeria and Chad (Far North region) and an insurgency from armed Anglophone separatist groups in the North-West and South-West regions (as of Feb 2020, this internal conflict has left an estimated 3,000 civilians dead and over 500,000 people displaced since fighting started in 2016); in addition, the FAC has occasionally deployed units to the border region with the Central African Republic to counter intrusions from armed militias and bandits (2020) |
