| Military and Security | Lithuania |
| --- | --- |
| Military and security forces: | Lithuanian Armed Forces (Lietuvos Ginkluotosios Pajegos): Land Forces (Sausumos Pajegos), Naval Forces (Karines Juru Pajegos), Air Forces (Karines Oro Pajegos), Special Operations Forces (Specialiuju Operaciju Pajegos); National Defense Volunteer Forces (Savanoriu Pajegos); National Riflemen's Union (paramilitary force that acts as an additional reserve force) (2020) |
| Military expenditures: | 2.03% of GDP (2019 est.) |
| Military expenditures: | 1.98% of GDP (2018) |
| Military expenditures: | 1.72% of GDP (2017) |
| Military expenditures: | 1.48% of GDP (2016) |
| Military expenditures: | 1.14% of GDP (2015) |
| Military and security service personnel strengths: | estimates for the Lithuanian Armed Forces vary; approximately 17,000 active duty personnel (12,500 Army, including about 5,000 National Defense Voluntary Forces; 700 Navy; 1,000 Air Force; 3,000 other, including special operations forces, logistics support, training, etc); est. 11,000 Riflemen Union (2020) |
| Military equipment inventories and acquisitions: | the Lithuanian Armed Forces' inventory is mostly a mix of Western weapons systems and Soviet-era equipment (primarily aircraft and helicopters); Germany and the UK are the leading suppliers of armaments to Lithuania since 2010 (2019 est.) |
| Military deployments: | contributes about 350 troops to the Lithuania, Poland, and Ukraine joint military brigade (LITPOLUKRBRIG), which was established in 2014; the brigade is headquartered in Warsaw and is comprised of an international staff, three battalions, and specialized units (2019) |
| Military service age and obligation: | 19-26 years of age for conscripted military service (males); 9-month service obligation; in 2015, Lithuania reinstated conscription after having converted to a professional military in 2008; 18-38 for voluntary service (male and female) (2019) |
