| Military and Security | China |
| --- | --- |
| Military and security forces: | People's Liberation Army (PLA): Ground Forces, Navy (PLAN, includes marines and naval aviation), Air Force (PLAAF, includes airborne forces), Rocket Force (strategic missile force), and Strategic Support Force (information warfare, cyber, space forces); People's Armed Police (PAP, includes Coast Guard, Border Defense Force, Internal Security Forces); PLA Reserve Force (2020) |
| Military expenditures: | 1.9% of GDP (2019) |
| Military expenditures: | 1.9% of GDP (2018) |
| Military expenditures: | 1.9% of GDP (2017) |
| Military expenditures: | 1.9% of GDP (2016) |
| Military expenditures: | 1.9% of GDP (2015) |
| Military and security service personnel strengths: | assessments of the size of the Peopleâ€™s Liberation Army (PLA) vary; approximately 2 million total active duty troops (approximately 1.0 million Ground; 250,000 Navy/Marines; 350,000 Air Force; 120,000 Rocket Forces; 150,000 Strategic Support Forces); 650,000 Peopleâ€™s Armed Police (2019) |
| Military equipment inventories and acquisitions: | the PLA is outfitted primarily with a mix of older and modern domestically-produced systems heavily influenced by technology derived from other countries; Russia is the top supplier of foreign military equipment since 2010, followed by France and Ukraine (2019) |
| Military deployments: | 425 Mali (MINUSMA); 220 Democratic Republic of the Congo (MONUSCO); 360 Sudan (UNAMID); 410 Lebanon (UNIFIL); 1,050 South Sudan (UNMISS); est. 250 Djibouti (2020) |
| Military service age and obligation: | 18-22 years of age for selective compulsory military service, with a 2-year service obligation; no minimum age for voluntary service (all officers are volunteers); 18-19 years of age for women high school graduates who meet requirements for specific military jobs (2018) |
