| Military and Security | Venezuela |
| --- | --- |
| Military and security forces: | Bolivarian National Armed Forces (Fuerza Armada Nacional Bolivariana, FANB): Bolivarian Army (Ejercito Bolivariano, EB), Bolivarian Navy (Armada Bolivariana, AB; includes Marines, Coast Guard), Bolivarian Military Aviation (Aviacion Militar Bolivariana, AMB), Integral Aerospace Defense Command (Comando de Defensa Aeroespacial Integral, CODAI), Bolivarian National Guard (Guardia Nacional Bolivaria, GNB); Bolivarian Militia (Milicia Bolivariana, NMB) (2019) |
| Military and security forces: | note: the CODAI is a joint service command with personnel drawn from other services |
| Military expenditures: | 0.5% of GDP (2017) |
| Military expenditures: | 0.5% of GDP (2016) |
| Military expenditures: | 1% of GDP (2015) |
| Military expenditures: | 1.2% of GDP (2014) |
| Military expenditures: | 1.7% of GDP (2013) |
| Military and security service personnel strengths: | the Bolivarian National Armed Forces (FANB) have approximately 125,000 active personnel (62,000 Army; 25,000 Navy; 11,000 Air Force; 27,000 National Guard) (2019 est.) |
| Military equipment inventories and acquisitions: | the FANB inventory is mainly of Chinese and Russian origin with a smaller mix of equipment from Western countries such as France, Germany, Italy, the Netherlands, Spain, the UK, and the US; since 2010, China and Russia are the top suppliers of military hardware to Venezuela (2019 est.) |
| Military service age and obligation: | all citizens of military service age (18-60 years old) are obligated to register for military service and subject to military training, though mandatory recruitment is forbidden; the minimum service obligation is 24-30 months (2016) |
| Maritime threats: | The International Maritime Bureau continues to report the territorial and offshore waters in the Caribbean Sea as at risk for piracy and armed robbery against ships; numerous vessels, including commercial shipping and pleasure craft, have been attacked and hijacked both at anchor and while underway; crews have been robbed and stores or cargoes stolen; in 2018, 11 attacks were reported which was a slight decreaseÂ from the 12 attacks in 2017.Â  Nevertheless, the waters off Venezuela continue to be the fourth most dangerous area for mariners in the world. (2018) |
