| Military and Security | Sweden |
| --- | --- |
| Military and security forces: | Swedish Armed Forces (Forsvarsmakten): Army, Navy, Air Force; Home Guard (2019) |
| Military expenditures: | 1.1% of GDP (2019) |
| Military expenditures: | 1% of GDP (2018) |
| Military expenditures: | 1% of GDP (2017) |
| Military expenditures: | 1.1% of GDP (2016) |
| Military expenditures: | 1.1% of GDP (2015) |
| Military and security service personnel strengths: | the Swedish Armed Forces (Forsvarsmakten) have approximately 15,000 active duty troops (6,200 Army; 2,500 Navy; 2,800 Air Force; 3,500 other, including staff, logistics, support, intelligence, etc); 22,000 Home Guard (2019 est.) |
| Military equipment inventories and acquisitions: | the inventory of the Swedish Armed Forces is comprised of domestically-produced and imported Western weapons systems; since 2010, the US is the leading supplier of military hardware to Sweden, followed by France and Germany; Sweden's defense industry is capable of providing most of the military's equipment requirements, including advanced aircraft and submarines (2019 est.) |
| Military deployments: | 200 Mali (MINUSMA and EUTM; plans to send an additional 150 personnel to the Sahel/Mali in early 2021) (2020) |
| Military service age and obligation: | 18-47 years of age for male and female voluntary military service; service obligation: 7.5 months (Army), 7-15 months (Navy), 8-12 months (Air Force); after completing initial service, soldiers have a reserve commitment until age 47; compulsory military service, abolished in 2010, was reinstated in January 2018; conscription is selective, includes both female and male (age 18), and requires 9-12 months of service (2018) |
