| Military and Security | Sudan |
| --- | --- |
| Military and security forces: | Sudanese Armed Forces (SAF): Ground Force, Navy, Sudanese Air Force; Rapid Support Forces (RSF, paramilitary); Reserve Department (formerly the paramilitary Popular Defense Forces) (2020) |
| Military and security forces: | the RSF is an autonomous paramilitary force formed in 2013 to fight armed rebel groups in Sudan, with Mohammed Hamdan DAGALLO (aka Hemeti) as its commander (he is also Deputy Chairman of the Sovereignty Council), from the remnants of the Janjaweed militia that participated in suppressing the Darfur rebellion; it was initially commanded by the National Intelligence and Security Service, then came under the direct command of former president Omar al-BASHIR, who boosted the RSF as his own personal security force; the RSF has been accused of committing rights abuses against civilians; it is also reportedly involved in business enterprises, such as gold mining; in late 2019, Sovereignty Council Chairman and SAF Commander-in-Chief General Abd-al-Fatah al-BURHAN said the RSF would be fully integrated into the SAF, but did not give a timeline |
| Military expenditures: | 1.6% of GDP (2019) |
| Military expenditures: | 2.3% of GDP (2018) |
| Military expenditures: | 3.9% of GDP (2017) |
| Military expenditures: | 3% of GDP (2016) |
| Military expenditures: | 3% of GDP (2015) |
| Military and security service personnel strengths: | size assessments for the Sudanese Armed Forces (SAF) vary widely, ranging from about 100,000 to more than 200,000 active personnel, including approximately 1,500 Navy and 3,000 Air Force; est. 30-40,000 paramilitary Rapid Support Forces; est. 20,000 Reserve Department (formerly the paramilitary Popular Defense Forces) (2019) |
| Military and security service personnel strengths: | note: in August 2020, Sudan and the major rebel group Sudan Peopleâ€™s Liberation Movement-North (SPLM-N) signed an agreement to integrate the group's fighters into the Sudanese Army by the end of 2023 |
| Military equipment inventories and acquisitions: | the SAF's inventory includes a mix of Chinese, Russian, Soviet, Ukrainian, and domestically-produced weapons systems; since 2010, the leading arms providers to the SAF are Belarus, China, Russia, and Ukraine; Sudan has a domestic arms industry that manufactures ammunition, small arms, and armored vehicles, largely based on older Chinese and Russian systems (2019 est.) |
| Military deployments: | estimates vary; approximately 1,000-3,000 Libya; approximately 1,000-2,000 Yemen (2020) |
| Military service age and obligation: | 18-33 years of age for male and female compulsory or voluntary military service; 1-2 year service obligation (2013) |
| Military - note: | United Nations Interim Security Force for Abyei (UNISFA) has operated in the disputed Abyei region along the border between Sudan and South Sudan since 2011; UNISFA's mission includes ensuring security, protecting civilians, strengthening the capacity of the Abyei Police Service, de-mining, monitoring/verifying the redeployment of armed forces from the area, and facilitating the flow of humanitarian aid; UNISFA had about 4,000 personnel deployed as of January 2020 |
| Military - note: | in addition, the United Nations African Union Hybrid Operation in Darfur (UNAMID) has operated in the war-torn Darfur region since 2007; UNAMID is a joint African Union-UN peacekeeping force with the mission of bringing stability to Darfur, including protecting civilians, facilitating humanitarian assistance, and promoting mediation efforts, while peace talks on a final settlement continue; as of March 2020, UNAMID had about 6,500 personnel deployed (2020) |
