| Military and Security | Sudan |
| --- | --- |
| Military expenditures: | 2.28% of GDP (2018) |
| Military expenditures: | 3.91% of GDP (2017) |
| Military expenditures: | 2.96% of GDP (2016) |
| Military expenditures: | 2.8% of GDP (2015) |
| Military and security forces: | Sudanese Armed Forces (SAF): Ground Force, Navy, Sudanese Air Force; Rapid Support Forces (paramilitary); Popular Defense Forces (paramilitary) (2019) |
| Military service age and obligation: | 18-33 years of age for male and female compulsory or voluntary military service; 1-2 year service obligation (2013) |
| Military - note: | United Nations Interim Security Force for Abyei (UNISFA) has operated in the disputed Abyei region along the border between Sudan and South Sudan since 2011; UNISFA's mission includes ensuring security, protecting civilians, strengthening the capacity of the Abyei Police Service, de-mining, monitoring/verifying the redeployment of armed forces from the area, and facilitating the flow of humanitarian aid; UNISFA had about 4,400 personnel deployed as of July 2019 |
| Military - note: | In addition, the United Nations African Union Hybrid Operation in Darfur (UNAMID) has operated in the war-torn Darfur region since 2007; UNAMID is a joint African Union-UN peacekeeping force with the mission of bringing stability to Darfur, including protecting civilians, facilitating humanitarian assistance, and promoting mediation efforts, while peace talks on a final settlement continue; as of October 2019, UNAMID had about 7,800 personnel deployed |
| Military - note: | Â  Â  (2019) |
