| Military | San Marino |
| --- | --- |
| Military branches: | no regular military forces; voluntary Military Corps (Corpi Militari) performs ceremonial duties and limited police support functions (2010) |
| Military service age and obligation: | 18 is the legal minimum age for voluntary military service; no conscription; government has the authority to call up all San Marino citizens from 16-60 years of age to service in the military (2012) |
| Manpower available for military service: | males age 16-49: 6,892 (2010 est.) |
| Manpower fit for military service: | males age 16-49: 5,565 |
| Manpower fit for military service: | females age 16-49: 6,067 (2010 est.) |
| Manpower reaching militarily significant age annually: | male: 186 |
| Manpower reaching militarily significant age annually: | female: 166 (2010 est.) |
| Military expenditures: | NA |
| Military - note: | defense is the responsibility of Italy |
