| Military and Security | Poland |
| --- | --- |
| Military and security forces: | Polish Armed Forces: Land Forces (Wojska Ladowe), Navy (Marynarka Wojenna), Air Force (Sily Powietrzne), Special Forces (Wojska Specjalne), Territorial Defense Force (Wojska Obrony Terytorialnej); Ministry of the Interior: Border Guard (includes coast guard duties) (2019) |
| Military expenditures: | 2% of GDP (2019 est.) |
| Military expenditures: | 2.02% of GDP (2018) |
| Military expenditures: | 1.89% of GDP (2017) |
| Military expenditures: | 1.99% of GDP (2016) |
| Military expenditures: | 2.22% of GDP (2015) |
| Military and security service personnel strengths: | the Polish Armed Forces have approximately 105,000 total active duty personnel (60,000 Army; 7,000 Navy; 17,000 Air Force; 3,500 Special Forces; 3,000 Territorial Defense Forces; 14,000 other); approximately 20,000 total Territorial Defense Forces including reservists (2019 est.) |
| Military and security service personnel strengths: | note - in June 2019, the Polish Government approved a plan to increase the size of the military by 50,000 troops over the coming decade |
| Military equipment inventories and acquisitions: | the inventory of the Polish Armed Forces consists of a mix of Soviet-era and more modern Western weapons systems; since 2010, the leading suppliers of armaments to Poland are Finland, Germany, Italy, and the US (2019 est.) |
| Military deployments: | 360 Afghanistan (NATO); 230 Kosovo (NATO); up to 200 Latvia (NATO); 220 Lebanon (UNIFIL); contributes about 3,500 troops to the Lithuania, Poland, and Ukraine joint military brigade (LITPOLUKRBRIG), which was established in 2014; the brigade is headquartered in Warsaw and is comprised of an international staff, three battalions, and specialized units (2020) |
| Military service age and obligation: | 18-28 years of age for male and female voluntary military service; conscription phased out in 2009-12; professional soldiers serve on a permanent basis (for an unspecified period of time) or on a contract basis (for a specified period of time); initial contract period is 24 months; women serve in the military on the same terms as men (2019) |
