| Military and Security | Mali |
| --- | --- |
| Military and security forces: | Malian Armed Forces (FAMa): Army (Armee de Terre), Republic of Mali Air Force (Force Aerienne de la Republique du Mali, FARM); National Gendarmerie; National Guard (Garde National du Mali) (2019) |
| Military and security forces: | note(s): the Gendarmerie and the National Guard are under the authority of the Ministry of Defense and Veterans Affairs (Ministere De La Defense Et Des Anciens Combattants, MDAC), but operational control is shared between the MDAC and the Ministry of Internal Security and Civil Protection |
| Military and security forces: | the Gendarmerie's primary mission is internal security and public order; its duties also include territorial defense, humanitarian operations, intelligence gathering, and protecting private property, mainly in rural areas |
| Military and security forces: | the National Guard is a military force responsible for providing security to government facilities and institutions, prison service, public order, humanitarian operations, some border security, and intelligence gathering; it has special units on camels (the Camel Corps) for patrolling the deserts and borders of northern Mali |
| Military expenditures: | 2.7% of GDP (2019) |
| Military expenditures: | 2.9% of GDP (2018) |
| Military expenditures: | 3% of GDP (2017) |
| Military expenditures: | 2.6% of GDP (2016) |
| Military expenditures: | 2.4% of GDP (2015) |
| Military and security service personnel strengths: | estimates for the size of the Malian Armed Forces (FAMa) vary; approximately 19,000 total troops (13,000 Army; 800 Air Force; 3,000 Gendarmerie; 2,000 National Guard) (2019 est.) |
| Military equipment inventories and acquisitions: | the FAMa's inventory consists primarily of Soviet-era equipment, although in recent years it has received limited quantities of mostly second-hand armaments from a variety of countries; since 2010, the leading suppliers have been Brazil, Bulgaria, France, Russia, South Africa, Spain, and the United Arab Emirates (2019 est.) |
| Military service age and obligation: | 18 years of age for selective compulsory and voluntary military service (men and women); 2-year conscript service obligation (2014) |
| Military - note: | prior to the August 2020 coup, the Malian military had intervened in the political arena at least five times since the country gained independence in 1960; two attempts failed (1976 and 1978), while three succeeded (1968, 1991, and 2012); the military collapsed in 2012 during the fighting against Tuareg rebels and Islamic militants |
| Military - note: | since 2017, the FAMa, along with other government security and paramilitary forces, has conducted multiple major operations against militants in the eastern, central, and northern parts of the country; up to 4,000 troops reportedly have been deployed; the stated objectives for the most recent operation (Operation Maliko in early 2020) was to end terrorist activity and restore government authority in seven of the countryâ€™s 10 regions, including Mopti, SÃ©gou, Gao, Kidal, MÃ©naka, TaoudÃ©nit, and Timbuktu |
| Military - note: | Mali is part of a five-nation anti-jihadist task force known as the G5 Sahel Group, set up in 2014 with Burkina Faso, Chad, Mauritania, and Niger; it has committed 1,100 troops and 200 gendarmes to the force; in early 2020, G5 Sahel military chiefs of staff agreed to allow defense forces from each of the states to pursue terrorist fighters up to 100 km into neighboring countries; the G5 force is backed by the UN, US, and France; G5 troops periodically conduct joint operations with French forces deployed to the Sahel under Operation BarkhaneÂ  |
| Military - note: | the United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA) has operated in the country since 2013; the Mission's responsibilities include providing security, rebuilding Malian security forces, supporting national political dialogue, and assisting in the reestablishment of Malian government authority; as of March 2020, MINUSMA had around 15,500 military, police, and civilian personnel deployed |
| Military - note: | the European Union Training Mission in Mali (EUTM-M) also has operated in the country since 2013; the EUTM-M provides advice and training to the Malian Armed Forces and military assistance to the G5 Sahel Joint Force; as of August 2020, the mission included more than 600 personnel from 28 European countries (2020) |
