| Military and Security | Yemen |
| --- | --- |
| Military and security forces: | Land Forces (includes seven Military Regional Commands, supported by Strategic Reserve Forces), Naval and Coastal Defense Forces (includes naval infantry/marines and Coast Guard), Air and Air Defense Force (although it still exists in name, in practice many of the officers and soldiers in this branch have been distributed to other military branches and jobs), Border Guards, Strategic Reserve Forces (supports the Land Forces at the discretion of the Armed Forces Commander-in-Chief; includes a Missile Group, Presidential Protection Brigades, and Special Operations Forces) (2018) |
| Military expenditures: | 3.98% of GDP (2014) |
| Military expenditures: | 4.08% of GDP (2013) |
| Military expenditures: | 4.57% of GDP (2012) |
| Military expenditures: | 4.19% of GDP (2011) |
| Military expenditures: | note - no reliable information exists following the start of renewed conflict in 2015 |
| Military and security service personnel strengths: | N/A; note: prior to the civil war, Yemeni Government armed forces had approximately 70,000 active personnel, including about 60,000 Army (2019 est.) |
| Military equipment inventories and acquisitions: | the inventory of the Yemeni Government forces consists primarily of Russian and Soviet-era equipment, although much of it has been lost in the current conflict; since 2010, it has received limited amounts of equipment from a variety of countries, including Belarus, Czechia, Jordan, Russia, Saudi Arabia, South Africa, Spain, UAE, Ukraine, and the US (2019 est.) |
| Military service age and obligation: | 18 is the legal minimum age for voluntary military service; no conscription; 2-year service obligation (2018) |
| Maritime threats: | the International Maritime Bureau reports offshore waters in the Gulf of Aden are high risk for piracy; numerous vessels, including commercial shipping and pleasure craft, have been attacked and hijacked both at anchor and while underway; crew, passengers, and cargo have been held for ransom; the presence of several naval task forces in the Gulf of Aden and additional anti-piracy measures on the part of ship operators reduced the incidence of piracy in that body of water; one attack was reported in 2016 while three ships reported being fired upon in 2017 |
