| Terrorism | India |
| --- | --- |
| Terrorist groups - home based: | Hizbul Mujahideen (HM): aim(s): annex the state of Jammu and Kashmir to Pakistan |
| Terrorist groups - home based: | area(s) of operation: HM is an indigenous Kashmiri militant group that operates in Jammu and Kashmir (2018) |
| Terrorist groups - home based: | Indian Mujahedeen (IM): aim(s): establish Islamic rule in India and, ultimately, convert all non-Muslims to Islam; stated goal is to carry out terrorist attacks against Indians for perceived atrocities against Indian Muslims |
| Terrorist groups - home based: | area(s) of operation: formerly based in the western state of Maharashtra, India's third-largest and second-most populous state, and now probably operates mostly outside India, particularly Nepal (2018) |
| Terrorist groups - foreign based: | al-Qa'ida (AQ): |
| Terrorist groups - foreign based: | aim(s): overthrow the Indian Government and, ultimately, establish a pan-Islamic caliphate under a strict Salafi Muslim interpretation of sharia |
| Terrorist groups - foreign based: | area(s) of operation: maintains an operational presence as al-Qa'ida in the Indian Subcontinent (2018) |
| Terrorist groups - foreign based: | al-Qa'ida in the Indian Subcontinent (AQIS): aim(s): establish an Islamic caliphate in the Indian subcontinent |
| Terrorist groups - foreign based: | area(s) of operation: targets primarily military and security personnel, especially in the states of Assam, Gujarat, and Jammu and Kashmir; present in large cities, including Delhi (2018) |
| Terrorist groups - foreign based: | Harakat ul-Mujahidin (HUM): aim(s): enhance its networks and paramilitary training in India and, ultimately, annex Kashmir into Pakistan and establish an Islamic state in Kashmir |
| Terrorist groups - foreign based: | area(s) of operation: conducts attacks against Indian troops and civilians in Kashmir (2018) |
| Terrorist groups - foreign based: | Harakat ul-Jihad-i-Islami (HUJI): aim(s): enhance its networks and operational capabilities in India |
| Terrorist groups - foreign based: | area(s) of operation: maintains an operational presence, especially in the south, including in Bangalore and Hubli (2018) |
| Terrorist groups - foreign based: | Harakat ul-Jihad-i-Islami/Bangladesh (HUJI-B): aim(s): enhance its networks in India and, ultimately, install an Islamic state in Bangladesh |
| Terrorist groups - foreign based: | area(s) of operation: maintains a low-profile presence (2018) |
| Terrorist groups - foreign based: | Islamic State of Iraq and ash-Sham-Khorasan (ISIS-K): aim(s):Â  spread the ISIS caliphate by eliminating the Indian Government and, ultimately, unite Kashmir with Pakistan |
| Terrorist groups - foreign based: | area(s) of operation:Â  maintains a recruitment presence in major cities (2018) |
| Terrorist groups - foreign based: | Jaish-e-Mohammed (JEM): aim(s): annex Jammu and Kashmir to Pakistan |
| Terrorist groups - foreign based: | area(s) of operation: operates primarily in Jammu and Kashmir State (2018) |
| Terrorist groups - foreign based: | Lashkar-e Tayyiba (LT): aim(s): annex Jammu and Kashmir State to Pakistan and, ultimately, install Islamic rule throughout South Asia |
| Terrorist groups - foreign based: | area(s) of operation: operational throughout India, especially in the north in Jammu and Kashmir State, since at least 1993 |
| Terrorist groups - foreign based: | note: continues to be one of the largest and most deadly of the anti-India-focused armed groups (2018) |
| Terrorist groups - foreign based: | Liberation Tigers of Tamil Eelam (LTTE): aim(s): enhance its networks in India and, ultimately, revive the movement to establish a Tamil homeland |
| Terrorist groups - foreign based: | area(s) of operation: maintains safe havens, transit routes, human trafficking, and an operational presence in an effort to revive the movement and conduct attacks (2018) |
