| Military and Security | Benin |
| --- | --- |
| Military and security forces: | Benin Armed Forces (Forces Armees Beninoises, FAB): Army, Navy, Air Force; Ministry of Public Security: Republican Police (2019) |
| Military expenditures: | 0.7% of GDP (2019) |
| Military expenditures: | 0.86% of GDP (2018) |
| Military expenditures: | 1.26% of GDP (2017) |
| Military expenditures: | 1.14% of GDP (2016) |
| Military expenditures: | 1.1% of GDP (2015) |
| Military and security service personnel strengths: | the Benin Armed Forces (FAB) are comprised of approximately 7,200 active duty troops (6,500 Army; 500 Navy; 200 Air Force); est. 5,000 Republican Police (2019) |
| Military equipment inventories and acquisitions: | the FAB is equipped with a mix of foreign-supplied weapons; historically, France and Russia (including the former Soviet Union) have been the chief suppliers of military hardware (2019 est.) |
| Military deployments: | 250 Mali (MINUSMA) (2020) |
| Military service age and obligation: | 18-35 years of age for selective compulsory and voluntary military service; a higher education diploma is required; both sexes are eligible for military service; conscript tour of duty - 18 months (2013) |
| Maritime threats: | West African piracy more than doubled in 2018 to become the most dangerous area in the World; the waters off ofÂ Benin saw a dramatic increase in 2018 with five attacks reported compared with none in 2017; three ships were boarded, two were hijacked, and 48 crew taken hostage or kidnapped |
| Military - note: | Benin participates in the Multinational Joint Task Force (MNJTF) against Boko Haram along with Cameroon, Chad, Niger, and Nigeria; the Benin military contingent is in charge of MNJTF garrison duties (2020) |
