| Terrorism | Philippines |
| --- | --- |
| Terrorist groups - home based: | Abu Sayyaf Group (ASG): |
| Terrorist groups - home based: | aim(s): establish an Islamic State in the Philippines' Mindanao Island and the Sulu Archipelago, and ultimately, an Islamic caliphate across Southeast Asia |
| Terrorist groups - home based: | area(s) of operation: southern Philippines in Mindanao and the Sulu Archipelago region (April 2018) |
| Terrorist groups - home based: | Communist Party of the Philippines/New People's Army (CPP/NPA): |
| Terrorist groups - home based: | aim(s): destabilize the Philippines' economy to inspire the populace to revolt against the government and, ultimately, overthrow the Philippine Government |
| Terrorist groups - home based: | area(s) of operation: operates throughout most of the country, primarily in rural regions, with its strongest presence in the Sierra Madre Mountains, rural Luzon, Visayas, and parts of northern and eastern Mindanao; maintains cells in Manila, Davao City, and other metropolitan areas (April 2018) |
| Terrorist groups - home based: | Islamic State of Iraq and ash-Sham (ISIS) network in Philippines: |
| Terrorist groups - home based: | aim(s): replace the Philippine Government with an Islamic state and implement ISIS's strict interpretation of sharia |
| Terrorist groups - home based: | area(s) of operation: Mindanao and the Sulu Archipelago region (April 2018) |
| Terrorist groups - foreign based: | Jemaah Islamiyah (JI): |
| Terrorist groups - foreign based: | aim(s): enhance its networks in the Philippines and, ultimately, overthrow the Philippine Government and establish a pan-Islamic state across Southeast Asia |
| Terrorist groups - foreign based: | area(s) of operation: maintains an operational and recruitment presence, especially in the south (April 2018) |
