| Military and Security | Austria |
| --- | --- |
| Military and security forces: | Austrian Armed Forces: Land Forces Command, Air Forces Command, plus a Logistics Command and Service Support & Cyber Defence Command (2019) |
| Military expenditures: | 0.7% of GDP (2019) |
| Military expenditures: | 0.7% of GDP (2018) |
| Military expenditures: | 0.8% of GDP (2017) |
| Military expenditures: | 0.7% of GDP (2016) |
| Military expenditures: | 0.7% of GDP (2015) |
| Military and security service personnel strengths: | the Austrian Armed Forces have approximately 23,000 total active duty personnel (13,000 Land Forces; 2,500 Air Force; 7,500 support) (2019 est.) |
| Military equipment inventories and acquisitions: | the Austrian military's inventory includes a mix of domestically-produced and imported weapons systems from European countries and the US; since 2010, Germany and Italy are the leading suppliers of armaments to Austria; the Austrian defense industry produces a range of armored vehicles (2019 est.) |
| Military deployments: | 300 Bosnia-Herzegovina (EUFOR stabilization force); 320 Kosovo (NATO); 170 Lebanon (UNIFIL) (2020) |
| Military service age and obligation: | registration requirement at age 17, the legal minimum age for voluntary military service; 18 is the legal minimum age for compulsory military service (6 months), or optionally, alternative civil/community service (9 months); males 18 to 50 years old in the militia or inactive reserve are subject to compulsory service; in a January 2012 referendum, a majority of Austrians voted in favor of retaining the system of compulsory military service (with the option of alternative/non-military service) instead of switching to a professional army system (2015) |
