| Terrorism | Afghanistan |
| --- | --- |
| Terrorist groups - home based: | al-Qa'ida (AQ): aim(s): eject Western influence from the Islamic world, unite the worldwide Muslim community, overthrow governments perceived as un-Islamic, and ultimately, establish a pan-Islamic caliphate under a strict Salafi Muslim interpretation of sharia |
| Terrorist groups - home based: | area(s) of operation: maintains established networks and a longtime operational presence in Afghanistan, especially in the south, northwest, and northeast near the Afghanistan-Pakistan border; continues to view Afghanistan as a safe haven for its leadership (2019) |
| Terrorist groups - home based: | Islamic Jihad Union (IJU): aim(s): drive NATO forces out of Afghanistan and destabilize the country; overthrow the Government of Uzbekistan |
| Terrorist groups - home based: | area(s) of operation: conducts attacks in collaboration with other extremist groups, including the Taliban and al-Qa'ida, against NATO and Afghan forces across the country, especially in the northern and eastern Paktika, Paktia, and Nangarhar provinces |
| Terrorist groups - home based: | note:Â  IJU is a splinter movement of the Islamic Movement of Uzbekistan (IMU); IJU emerged in the early 2000s after internal splits over goals; IMU is focused on Central Asia, but the IJU sought a more global focus Â  (2019) |
| Terrorist groups - home based: | Islamic Movement of Uzbekistan (IMU): |
| Terrorist groups - home based: | aim(s): enhance its networks and secure territory in Afghanistan to establish a secure presence from which it can pursue its historic goal of establishing an Islamic state in the Fergana Valley, a fertile valley spread across eastern Uzbekistan, southern Kyrgyzstan, and northern Tajikistan |
| Terrorist groups - home based: | area(s) of operation: operates mostly in the north along the Afghanistan-Pakistan border, with its heaviest presence in Badakhshan Province, where IMU has operated paramilitary training camps and bases |
| Terrorist groups - home based: | note: the IMU is fractured and mostly supports ISIS-K although some members have continued working with the Taliban and al-Qa'ida (2019) |
| Terrorist groups - home based: | Islamic State of Iraq and ash-Sham-Khorasan (ISIS-K): |
| Terrorist groups - home based: | aim(s): establish an Islamic caliphate in Afghanistan, Pakistan, and parts of Central Asia; counter Westerners and Shia Muslims |
| Terrorist groups - home based: | area(s) of operation: strongholds in Nangarhar and Kunar provinces near the Afghanistan-Pakistan border and operating in Laghman, Jowzjan provinces with pockets of support throughout Afghanistan |
| Terrorist groups - home based: | note: recruits from among the local population, Central Asian extremists in Afghanistan, and other militant groups, such as Tehrik-e Taliban Pakistan, the Afghan Taliban, and the Islamic Movement of Uzbekistan; ISIS-K and Afghan Taliban forces have fought sometimes over control of territory or because of political or differences (2019) |
| Terrorist groups - home based: | Tehrik-e-Taliban Pakistan (TTP): |
| Terrorist groups - home based: | aim(s): drive foreign troops from Afghanistan; remove Pakistani forces from Pakistan's Federally Administered Tribal Areas (FATA) and, ultimately, overthrow the Pakistan Government to implement TTP's strict interpretation of sharia |
| Terrorist groups - home based: | area(s) of operation: headquartered in several eastern Afghanistan provinces near the Afghanistan-Pakistan border; operates primarily along the northeastern Afghanistan-Pakistan border, especially in Kunar and Paktika provinces, where TTP has established sanctuaries (2019) |
| Terrorist groups - foreign based: | al-Qa'ida in the Indian Subcontinent (AQIS): aim(s):Â  unite local jihadist movements in the Indian subcontinent, pursue the overthrow of local governments, exacerbate tensions between Hindus and Muslims, establish an Islamic caliphate in the Indian subcontinent |
| Terrorist groups - foreign based: | area(s) of operation: heaviest presence is in Afghanistan, especially in the eastern and southern regions, where most of the Afghan-based leaders are located |
| Terrorist groups - foreign based: | note: targets primarily Afghan military and security personnel and US interests (2019) |
| Terrorist groups - foreign based: | Haqqani Taliban Network (HQN): aim(s): expel US and Coalition forces and replace the Afghan Government with an Islamic state operating according to a strict Salafi Muslim interpretation of sharia under the Afghan Taliban |
| Terrorist groups - foreign based: | area(s) of operation: stages attacks from Kurram and North Waziristan Agency in Pakistan's Federally Administered Tribal Areas (FATA) across from Afghanistan's southeastern border; operational throughout the country, especially in Kabul and Paktiya and Khost provinces |
| Terrorist groups - foreign based: | note: plays a leading role in planning and executing high-profile attacks against Afghan personnel, NATO's Resolute Support Mission, US and Coalition Forces, and other US and Western interests; strong ties with al-Qa'ida (2019) |
| Terrorist groups - foreign based: | Harakat ul-Mujahidin (HUM): aim(s): enhance its networks and paramilitary training in Afghanistan and, ultimately, incorporate Kashmir into Pakistan; establish an Islamic state in Kashmir |
| Terrorist groups - foreign based: | area(s) of operation: maintains paramilitary training camps in eastern Afghanistan (2019) |
| Terrorist groups - foreign based: | Harakat ul-Jihad-i-Islami (HUJI): im(s): seeks the annexation of the state of Jammu and Kashmir and the expulsion of foreign forces from Afghanistan; implement sharia in Afghanistan |
| Terrorist groups - foreign based: | area(s) of operation: operations throughout Afghanistan, targeting primarily Afghan Government personnel and Coalition forces; has supplied fighters to the Taliban (2019) |
| Terrorist groups - foreign based: | Islamic Revolutionary Guard Corps -- Qods Force (IRGC-QF): |
| Terrorist groups - foreign based: | aim(s):Â  initially supported anti-Taliban initiatives that complemented US goals in 2001, however, it gradually adopted an anti-NATO/anti-Afghan government strategy and began supplying financial assistance, training, and weapons to the Taliban |
| Terrorist groups - foreign based: | area(s) of operations:Â  Taliban-dominated areas of Afghanistan |
| Terrorist groups - foreign based: | (2019) |
| Terrorist groups - foreign based: | Jaish-e-Mohammed (JEM): aim(s): annex the state of Jammu and Kashmir to Pakistan and expel international forces from Afghanistan. |
| Terrorist groups - foreign based: | area(s) of operation: historically operated in Afghanistan's eastern provinces (2019) |
| Terrorist groups - foreign based: | Jaysh al Adl: aim(s): enhance its operational networks and capabilities for staging cross-border attacks into Iran |
| Terrorist groups - foreign based: | area(s) of operation: operational in the greater Balochistan area, where fighters stage attacks targeting Iranian security forces |
| Terrorist groups - foreign based: | note: formerly known as Jundallah (2019) |
| Terrorist groups - foreign based: | Lashkar i Jhangvi (LJ): aim(s): enhance its networks and paramilitary training in Afghanistan; exterminate Shia Muslims, rid the Afghanistan-Pakistan region of Western influence |
| Terrorist groups - foreign based: | area(s) of operation: headquartered in the east; operates paramilitary training camps near the Afghanistan-Pakistan border across from the central area of Pakistan's Federally Administered Tribal Areas (FATA) region; operatives conduct operations mostly against targets in Pakistan, but also in Afghanistan; ties with al-Qa'ida and the Taliban (2019) |
| Terrorist groups - foreign based: | Lashkar-e Tayyiba (LT): aim(s): annex the Indian state of Jammu and Kashmir to Pakistan and foment Islamic insurgency in India; attack Western, Indian, and Afghan interests in Afghanistan; support the Taliban's return to power; enhance its recruitment networks and paramilitary training in Afghanistan, and, ultimately, install Islamic rule throughout South Asia |
