| Military and Security | Serbia |
| --- | --- |
| Military and security forces: | Serbian Armed Forces (Vojska Srbije, VS): Land Forces (includes Riverine Component, consisting of a river flotilla on the Danube), Air and Air Defense Forces, Serbian Guard; Ministry of Interior: Gendarmerie (2019) |
| Military and security forces: | note: the Guard is a brigade-sized unit that is directly subordinate to the Serbian Armed Forces Chief of General Staff |
| Military expenditures: | 2.2% of GDP (2019) |
| Military expenditures: | 1.6% of GDP (2018 est.) |
| Military expenditures: | 1.8% of GDP (2017 est.) |
| Military expenditures: | 1.7% of GDP (2016) |
| Military expenditures: | 1.8% of GDP (2015) |
| Military and security service personnel strengths: | size estimates for the Serbian Armed Forces vary; approximately 25,000 active duty troops (13,500 Land Forces; 5,000 Air/Air Defense; 1,500 Guards Brigade; 5,000 other, including training, logistics, intelligence, medical, and other support staff) (2019 est.) |
| Military equipment inventories and acquisitions: | the inventory of the Serbian Armed Forces consists of Russian and Soviet-era weapons systems; since 2010, most of its weapons imports have come from Russia, but it has also received equipment from Belarus (second-hand aircraft), Germany, Montenegro (second-hand aircraft), and the US (2019 est.) |
| Military deployments: | 175 Lebanon (UNIFIL) (2020) |
| Military service age and obligation: | 18 years of age for voluntary military service; conscription abolished December 2010 (2019) |
