| Military and Security | Malaysia |
| --- | --- |
| Military and security forces: | Malaysian Armed Forces (Angkatan Tentera Malaysia, ATM): Malaysian Army (Tentera Darat Malaysia), Royal Malaysian Navy (Tentera Laut Diraja Malaysia, TLDM), Royal Malaysian Air Force (Tentera Udara Diraja Malaysia, TUDM); Ministry of Home Affairs: the Royal Malaysian Police (PRMD, includes the General Operations Force, a paramilitary force with a variety of roles, including patrolling borders, counter-terrorism, maritime security, and counterinsurgency) (2019) |
| Military and security forces: | note: Malaysia created a National Special Operations Force in 2016 for combating terrorism threats; the force is comprised of personnel from the Armed Forces, the Royal Malaysian Police, and the Malaysian Maritime Enforcement Agency (Malaysian Coast Guard, MMEA) |
| Military expenditures: | 1% of GDP (2019) |
| Military expenditures: | 1% of GDP (2018) |
| Military expenditures: | 1.1% of GDP (2017) |
| Military expenditures: | 1.4% of GDP (2016) |
| Military expenditures: | 1.5% of GDP (2015) |
| Military and security service personnel strengths: | the Malaysian Armed Forces have approximately 115,000 active duty troops (80,000 Army; 18,000 Navy; 17,000 Air Force); approximately 18,000 General Operations Force (2019 est.) |
| Military equipment inventories and acquisitions: | the Malaysian Armed Forces field a diverse mix of imported weapons systems; the chief suppliers since 2010 are Germany, South Korea, Spain, and Turkey (2019) |
| Military deployments: | 820 Lebanon (UNIFIL) (2020) |
| Military service age and obligation: | 17 years 6 months of age for voluntary military service (younger with parental consent and proof of age); mandatory retirement age 60; women serve in the Malaysian Armed Forces; no conscription (2017) |
| Maritime threats: | the International Maritime Bureau reports that the territorial and offshore waters in the Strait of Malacca and South China Sea remain high risk for piracy and armed robbery against ships; in the past, commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift; 11 attacks were reported in 2018 including eight ships boarded andÂ seven crew taken hostage |
