| Military and Security | Iraq |
| --- | --- |
| Military and security forces: | Ministry of Defense: Iraqi Army, Army Aviation Command, Iraqi Navy, Iraqi Air Force, Iraqi Air Defense Command, Special Forces Command; National-Level Security Forces: Iraqi Counterterrorism Service (CTS; a Special Forces Division aka the "Golden Division"), Prime Minister's Special Forces Division, Presidential Brigades; Ministry of Interior: Federal Police Forces Command, Border Guard Forces Command, Federal Intelligence and Investigations Agency, Emergency Response Division, Facilities Protection Directorate, and Energy Police Directorate; Popular Mobilization Commission and Affiliated Forces (PMF); Ministry of Pershmerga (Kurdistan Regional Government) (2020) |
| Military and security forces: | note: the PMF is a collection of approximately 50 paramilitary militias of different sizes and with varying political interests |
| Military expenditures: | 3.5% of GDP (2019) |
| Military expenditures: | 2.9% of GDP (2018) |
| Military expenditures: | 3.9% of GDP (2017) |
| Military expenditures: | 3.5% of GDP (2016) |
| Military expenditures: | 5.4% of GDP (2015) |
| Military and security service personnel strengths: | assessments of the size of the Iraqi military, security services, and associated militia forces vary widely; the military and the security services are rebuilding after suffering considerable losses in personnel and equipment fighting the ISIS terrorist group (see note) and are also attempting to incorporate local militia groups; approximately 190,000 active personnel (180,000 Army; 3,000 Navy; 5,000 Air Force); National-Level Security Forces: est. 10,000 Iraqi Counterterrorism Service; est. 10,000 Presidential Brigades; est. 6,000 Prime Ministerâ€™s Special Forces Division; other: est. 100-160,000 Popular Mobilization Forces; est. 150,000-200,000 Peshmerga Forces (2019 ) |
| Military and security service personnel strengths: | note: Iraqi Army strength reportedly fell from about 200,000 personnel in 2009 to around 50,000 in 2016 |
| Military equipment inventories and acquisitions: | the Iraqi military inventory is comprised of Russian and Soviet-era equipment combined with newer European- and US-sourced platforms; since 2010, Russia and the US are the leading suppliers of military hardware to Iraq (2019 est.) |
| Military service age and obligation: | 18-40 years of age for voluntary military service; no conscription (2019) |
