| Military and Security | Mongolia |
| --- | --- |
| Military expenditures: | 0.68% of GDP (2018) |
| Military expenditures: | 0.72% of GDP (2017) |
| Military expenditures: | 0.92% of GDP (2016) |
| Military expenditures: | 0.87% of GDP (2015) |
| Military expenditures: | 0.86% of GDP (2014) |
| Military and security forces: | Mongolian Armed Forces (Mongol ulsyn zevsegt huchin): Mongolian Army, Mongolian Air Force (2019) |
| Military service age and obligation: | 18-27 years of age for compulsory and voluntary military service; 1-year conscript service obligation in army or air forces or police for males only; after conscription, soldiers can contract into military service for 2 or 4 years; citizens can also voluntarily join the armed forces (2017) |
| Military - note: | The Mongolian Armed Forces also includes a National Center for Emergency and Disaster Relief to coordinate the military's efforts as first-responders for earthquakes, wildfires, and forest fires; contagious diseases; and snow and dust storms as well as severe winters (known as zud). |
| Military - note: | Paramilitary forces:Â  Border Guards, Internal Security Troops (2017) |
