| Terrorism | Syria |
| --- | --- |
| Terrorist groups - home based: | al-Nusrah Front: |
| Terrorist groups - home based: | aim(s): overthrow Syrian President Bashar al-ASAD's regime, absorb like-minded Syrian rebel groups, and ultimately, establish a regional Islamic caliphate |
| Terrorist groups - home based: | area(s) of operation: headquartered in the northwestern Idlib Governorate, with a minor presence in Halab Governorate; operational primarily in northern, western, and southern Syria; installs Sharia in areas under its control; targets primarily Syrian regime and pro-regime forces, some minorities, other Syrian insurgent groups, and occasionally Western interests (April 2018) |
| Terrorist groups - home based: | Hay'at Tahrir al-Sham (HTS): |
| Terrorist groups - home based: | aim(s): an alias of the al-Nusrah Front; overthrow Syrian President Bashar al-ASAD's regime, absorb like-minded Syrian rebel groups, and, ultimately, establish a regional Islamic caliphate |
| Terrorist groups - home based: | area(s) of operation: Northwest Syria (December 2018) |
| Terrorist groups - home based: | Islamic State of Iraq and ash-Sham (ISIS): |
| Terrorist groups - home based: | aim(s): replace the world order with a global Islamic state based in Iraq and Syria; expand its branches and networks in other countries; rule according to ISIS's strict interpretation of Islamic law |
| Terrorist groups - home based: | area(s) of operation: ISIS has lost most of the territory it once controlled and now its overt territorial control is limited to pockets of land along the Syria-Iraq border and in southern Syria (April 2018) |
| Terrorist groups - foreign based: | Abdallah Azzam Brigades (AAB): |
| Terrorist groups - foreign based: | aim(s): disrupt and attack Shia Muslim and Western interests in Syria |
| Terrorist groups - foreign based: | area(s) of operation: remains operational; conducts attacks against primarily Shia Muslim organizations and individuals, including Hizballah members, and Westerners and their interests (April 2018) |
| Terrorist groups - foreign based: | al-Qa'ida (AQ): |
| Terrorist groups - foreign based: | aim(s): overthrow President Bashar al-ASAD's regime; establish a regional Islamic caliphate and conduct attacks outside of Syria |
| Terrorist groups - foreign based: | area(s) of operation: operational primarily in Idlib Governorate and southern Syria, where it has established networks and operates paramilitary training camps (April 2018) |
| Terrorist groups - foreign based: | Ansar al-Islam (AAI): |
| Terrorist groups - foreign based: | aim(s): remove Syrian President Bashar al-ASAD from power and establish a government operating according to sharia |
| Terrorist groups - foreign based: | area(s) of operation: operationally active in Syria since 2011; launches attacks on Syrian Government security forces and pro-Syrian Government militias; some AAI factions combat ISIS, while others are aligned with ISIS (April 2018) |
| Terrorist groups - foreign based: | Hizballah: |
| Terrorist groups - foreign based: | aim(s): preserve Syrian President Bashar al-ASAD's regime |
| Terrorist groups - foreign based: | area(s) of operation: operational activity throughout the country since 2012; centered on providing paramilitary support to President Bashar al-ASAD's regime against armed insurgents (April 2018) |
| Terrorist groups - foreign based: | Kata'ib Hizballah (KH): |
| Terrorist groups - foreign based: | aim(s): preserve Syrian President Bashar al-ASAD's regime |
| Terrorist groups - foreign based: | area(s) of operation: deploys combatants to Syria to fight alongside Syrian Government and Lebanese Hizballah forces (April 2018) |
| Terrorist groups - foreign based: | Kurdistan Workers' Party (PKK): |
| Terrorist groups - foreign based: | aim(s): advance Kurdish autonomy, political, and cultural rights in Syria, Turkey, Iraq, and Iran |
| Terrorist groups - foreign based: | area(s) of operation: operational in the north and east; majority of members inside Syria are Syrian Kurds, along with Kurds from Iran, Iraq, and Turkey (April 2018) |
| Terrorist groups - foreign based: | Mujahidin Shura Council in the Environs of Jerusalem (MSC): |
| Terrorist groups - foreign based: | aim(s): destroy the state of Israel; enhance its networks in Syria |
| Terrorist groups - foreign based: | area(s) of operation: maintains limited networks for operational planning against Israel (April 2018) |
| Terrorist groups - foreign based: | Palestine Liberation Front (PLF): |
| Terrorist groups - foreign based: | aim(s): enhances its networks and, ultimately, destroy the state of Israel and establish a secular, Marxist Palestinian state with Jerusalem as its capital |
| Terrorist groups - foreign based: | area(s) of operation: maintains a recruitment and training presence in many refugee camps (April 2018) |
| Terrorist groups - foreign based: | PFLP-General Command (PFLP-GC): |
| Terrorist groups - foreign based: | aim(s): preserve Syrian President Bashar al-ASAD's regime |
| Terrorist groups - foreign based: | area(s) of operation: maintains a political base in Damascus; fights with President al-ASAD's forces and Hizballah in areas where anti-regime paramilitary groups are active (April 2018) |
| Terrorist groups - foreign based: | Popular Front for the Liberation of Palestine (PFLP): |
| Terrorist groups - foreign based: | aim(s): enhance its recruitment networks in Syria |
| Terrorist groups - foreign based: | area(s) of operation: maintains a recruitment and limited training presence in several refugee camps (April 2018) |
