| Military and Security | Cote d'Ivoire |
| --- | --- |
| Military and security forces: | Armed Forces of Cote d'Ivoire (Forces Armees de Cote d'Ivoire, FACI; aka Republican Forces of Ivory Coast, FRCI): Army (Armee de Terre), Navy (Marine Nationale), Cote Air Force (Force Aerienne Cote), Special Forces (Forces Speciale) |
| Military and security forces: | other security services include the National Gendarmerie (under the Ministry of Defense), the National Police (under the Ministry of Security and Civil Protection), and the Coordination Center for Operational Decisions (a mix of police, gendarmerie, and FACI personnel for assisting police in providing security in some large cities) (2019) |
| Military expenditures: | 1.1% of GDP (2019) |
| Military expenditures: | 1.4% of GDP (2018) |
| Military expenditures: | 1.3% of GDP (2017) |
| Military expenditures: | 1.7% of GDP (2016) |
| Military expenditures: | 1.7% of GDP (2015) |
| Military and security service personnel strengths: | the Armed Forces of Cote dâ€™Ivoire have approximately 25,000 active troops (23,000 Army; 1,000 Navy; 1,000 Air Force) (2019 est.) |
| Military equipment inventories and acquisitions: | the FACI is mostly equipped with second-hand weapons and equipment of Russian origin; the leading suppliers since 2000 are Belarus, Bulgaria, and Romania (2019 est.) |
| Military deployments: | 800 Mali (MINUSMA) (2020) |
| Military service age and obligation: | 18-25 years of age for compulsory and voluntary male and female military service; conscription is not enforced; voluntary recruitment of former rebels into the new national army is restricted to ages 22-29 (2012) |
| Military - note: | the military has mutinied several times since the late 1990s, most recently in 2017, and has had a large role in the countryâ€™s political turmoil; currently, the FACI is focused on internal security and the growing threat posed by Islamic militants associated with the al-Qaâ€™ida in the Islamic Maghreb (AQIM) terrorist group operating across the border in southern Burkina Faso; AQIM militants conducted significant attacks in the country in 2016 and 2020; CÃ´te dâ€™Ivoire since 2016 has stepped up border security and built a joint terrorism training center with France near Abidjan in 2018 |
| Military - note: | the UN maintained a 9,000-strong peacekeeping force in Cote dâ€™Ivoire (UNOCI) from 2004 until 2017 (2020) |
