| Military | Cuba |
| --- | --- |
| Military branches: | Revolutionary Armed Forces (Fuerzas Armadas Revolucionarias, FAR): Revolutionary Army (Ejercito Revolucionario, ER, includes Territorial Militia Troops (Milicia de Tropas de Territoriales, MTT)); Revolutionary Navy (Marina de Guerra Revolucionaria, MGR, includes Marine Corps); Revolutionary Air and Air Defense Forces (DAAFAR), Youth Labor Army (Ejercito Juvenil del Trabajo, EJT) (2011) |
| Military service age and obligation: | 17-28 years of age for compulsory military service; 2-year service obligation; both sexes subject to military service (2006) |
| Manpower available for military service: | males age 16-49: 2,998,201 |
| Manpower available for military service: | females age 16-49: 2,919,107 (2010 est.) |
| Manpower fit for military service: | males age 16-49: 2,446,131 |
| Manpower fit for military service: | females age 16-49: 2,375,590 (2010 est.) |
| Manpower reaching militarily significant age annually: | male: 72,823 |
| Manpower reaching militarily significant age annually: | female: 69,108 (2010 est.) |
| Military expenditures: | 3.8% of GDP (2006 est.) |
| Military - note: | the collapse of the Soviet Union deprived the Cuban military of its major economic and logistic support and had a significant impact on the state of Cuban equipment; the army remains well trained and professional in nature; while the lack of replacement parts for its existing equipment has increasingly affected operational capabilities, Cuba remains able to offer considerable resistance to any regional power (2010) |
