| Military and Security | Cuba |
| --- | --- |
| Military expenditures: | 2.87% of GDP (2017) |
| Military expenditures: | 3.07% of GDP (2016) |
| Military expenditures: | 3.08% of GDP (2015) |
| Military expenditures: | 3.54% of GDP (2014) |
| Military expenditures: | 3.51% of GDP (2013) |
| Military and security forces: | Revolutionary Armed Forces (Fuerzas Armadas Revolucionarias, FAR): Revolutionary Army (Ejercito Revolucionario, ER, includesÂ  and Production and Defense Brigades), Revolutionary Navy (Marina de Guerra Revolucionaria, MGR, includes Marine Corps), Revolutionary Air and Air Defense Forces (Defensas Anti-Aereas y Fuerza Aerea Revolucionaria, DAAFAR); Paramilitary forces:Â  Youth Labor Army (Ejercito Juvenil del Trabajo, EJT), Territorial Militia Troops (Milicia de Tropas de Territoriales, MTT), Civil Defense Force.Â  |
| Military and security forces: | Ministry of Interior:Â  Border Guards, State Security (2019) |
| Military service age and obligation: | 17-28 years of age for compulsory military service; 2-year service obligation for males, optional for females (2017) |
| Military - note: | the collapse of the Soviet Union deprived the Cuban military of its major economic and logistic support and had a significant impact on the state of Cuban equipment; the army remains well trained and professional in nature; the lack of replacement parts for its existing equipment has increasingly affected operational capabilities (2019) |
