| Military and Security | Cuba |
| --- | --- |
| Military and security forces: | Revolutionary Armed Forces (Fuerzas Armadas Revolucionarias, FAR): Revolutionary Army (Ejercito Revolucionario, ER), Revolutionary Navy (Marina de Guerra Revolucionaria, MGR, includes Marine Corps), Revolutionary Air and Air Defense Forces (Defensas Anti-Aereas y Fuerza Aerea Revolucionaria, DAAFAR); Paramilitary forces: Youth Labor Army (Ejercito Juvenil del Trabajo, EJT), Territorial Militia Troops (Milicia de Tropas de Territoriales, MTT), Civil Defense Force; Ministry of Interior: Border Guards, State Security (2020) |
| Military expenditures: | 2.9% of GDP (2018) |
| Military expenditures: | 2.9% of GDP (2017) |
| Military expenditures: | 3.1% of GDP (2016) |
| Military expenditures: | 3.1% of GDP (2015) |
| Military expenditures: | 3.5% of GDP (2014) |
| Military and security service personnel strengths: | the Revolutionary Armed Forces (FAR) of Cuba have approximately 50,000 active personnel (39,000 Army; 3,000 Navy; 8,000 Air Force) (2019 est.) |
| Military equipment inventories and acquisitions: | the Cuban military inventory is comprised of Russian and Soviet-era equipment; the last recorded arms delivery to Cuba was by Russia in 2004 (2019 est.) |
| Military service age and obligation: | 17-28 years of age for compulsory military service; 2-year service obligation for males, optional for females (2017) |
| Military - note: | the FAR remains well trained and professional in nature, but the collapse of the Soviet Union deprived the Cuban military of its major economic and logistic support and had a significant impact on the state of equipment; the lack of replacement parts for its existing equipment has increasingly affected operational capabilities (2019) |
