| Military and Security | Paraguay |
| --- | --- |
| Military and security forces: | Armed Forces Command (Commando de las Fuerzas Militares): Army, National Navy (Armada Nacional, includes marines), Paraguayan Air Force (Fuerza Aerea Paraguay, FAP) (2020) |
| Military expenditures: | 1% of GDP (2019) |
| Military expenditures: | 0.9% of GDP (2018) |
| Military expenditures: | 0.9% of GDP (2017) |
| Military expenditures: | 1% of GDP (2016) |
| Military expenditures: | 1.1% of GDP (2015) |
| Military and security service personnel strengths: | the Armed Forces of Paraguay have approximately 14,000 active personnel (8,500 Army; 3,000 Navy; 2,500 Air Force) (2019 est.) |
| Military equipment inventories and acquisitions: | the Paraguayan military forces inventory is comprised of mostly older equipment from a variety of foreign suppliers, particularly Brazil and the US; since 2010, Paraguay has acquired limited quantities of mostly second-hand military equipment from Argentina, Brazil, Israel, Spain, Taiwan, and the US (2019 est.) |
| Military service age and obligation: | 18 years of age for compulsory and voluntary military service; conscript service obligation is 12 months for Army, 24 months for Navy; volunteers for the Air Force must be younger than 22 years of age with a secondary school diploma (2016) |
