| Military and Security | Honduras |
| --- | --- |
| Military and security forces: | Honduran Armed Forces (Fuerzas Armadas de Honduras, FFAA): Army, Honduran Naval Force (FNH; includes marines), Honduran Air Force (Fuerza Aerea Hondurena, FAH), Honduran Public Order Military Police (PMOP); Ministry of Public Security and Defense: Public Security Forces (includes paramilitary units) (2020) |
| Military expenditures: | 1.6% of GDP (2019) |
| Military expenditures: | 1.6% of GDP (2018) |
| Military expenditures: | 1.7% of GDP (2017) |
| Military expenditures: | 1.7% of GDP (2016) |
| Military expenditures: | 1.7% of GDP (2015) |
| Military and security service personnel strengths: | the Honduran Armed Forces (FFAA) have approximately 15,500 active personnel (7,500 Army; 1,500 Navy; 2,500 Air Force; 4,000 Public Order Military Police) (2019 ) |
| Military equipment inventories and acquisitions: | the FFAA's inventory is comprised of mostly older imported equipment from Israel, the UK, and the US; since 2010, Honduras has received limited amounts of military equipment from Colombia, Israel, Netherlands, Taiwan, and the US (2019 est.) |
| Military service age and obligation: | 18 years of age for voluntary 2- to 3-year military service; no conscription (2012) |
