| Military and Security | Malawi |
| --- | --- |
| Military and security forces: | Malawi Defense Force (MDF): Army (includes Air Wing, Marine Unit); note - a 2017 amendment to Malawiâ€™s Defense Force Act established a separate Army, Air Force, and Maritime Force within the MDF, but these services have yet to develop independent budgets, chains of command, and training institutions (2019) |
| Military expenditures: | 0.9% of GDP (2019) |
| Military expenditures: | 0.9% of GDP (2018) |
| Military expenditures: | 0.8% of GDP (2017) |
| Military expenditures: | 0.6% of GDP (2016) |
| Military expenditures: | 0.6% of GDP (2015) |
| Military and security service personnel strengths: | size estimates for the Malawi Defense Force vary; approximately 8,000 personnel (including about 200 in the Air Wing and 200 in the Marine Unit) (2019 est.) |
| Military equipment inventories and acquisitions: | the Malawi Defense Force inventory is comprised of mostly obsolescent or second-hand equipment from France, Germany, South Africa, and the UK; since 2010, it has taken deliveries of additional second-hand equipment from South Africa (2012-15) and the UK (2015), as well as new patrol boats from China (2019) and non-lethal equipment donated by the US (2019) (2019) |
| Military deployments: | 730 Democratic Republic of the Congo (MONUSCO) (2020) |
| Military service age and obligation: | 18 years of age for voluntary military service; high school equivalent required for enlisted recruits and college equivalent for officer recruits; initial engagement is 7 years for enlisted personnel and 10 years for officers (2014) |
