| Military and Security | Peru |
| --- | --- |
| Military and security forces: | Joint Command of the Armed Forces of Peru: Peruvian Army (Ejercito del Peru), Peruvian Navy (Marina de Guerra del Peru, MGP, includes naval air, naval infantry, and Coast Guard), Air Force of Peru (Fuerza Aerea del Peru, FAP); Ministry of the Interior (Ministerio del Interior): Peruvian National Police (PolicÃ­a Nacional del PerÃº, PNP) (2020) |
| Military expenditures: | 1.2% of GDP (2019) |
| Military expenditures: | 1.2% of GDP (2018) |
| Military expenditures: | 1.2% of GDP (2017) |
| Military expenditures: | 1.3% of GDP (2016) |
| Military expenditures: | 1.7% of GDP (2015) |
| Military and security service personnel strengths: | Peruvian military size estimates vary widely; approximately 95,000 active personnel (55,000 Army; 25,000 Navy; 15,000 Air Force) (2019 est.) |
| Military equipment inventories and acquisitions: | the Peruvian military's inventory is a mix of mostly older equipment from a wide variety of suppliers, including Brazil, Europe, the former Soviet Union, and the US; the leading suppliers of military equipment since 2010 are Italy, Russia, and South Korea (2019 est.) |
| Military deployments: | 200 Central African Republic (MINUSCA) (2020) |
| Military service age and obligation: | 18-50 years of age for male and 18-45 years of age for female voluntary military service; no conscription (2013) |
| Maritime threats: | the International Maritime Bureau reports the territorial waters of Peru are a risk for armed robbery against ships; in 2018, four attacks against commercial vessels were reported, a slight increase from theÂ two reported in 2017; most of these occured in the main port of Callao |
