| Military and Security | Ukraine |
| --- | --- |
| Military and security forces: | Armed Forces of Ukraine (Zbroyni Syly Ukrayiny, ZSU): Ground Forces (Sukhoputni Viysâ€™ka), Naval Forces (Viysâ€™kovo-Morsâ€™ki Syly, VMS), Air Forces (Povitryani Syly, PS), Air Assault Forces (Desantno-shturmovi Viyska, DShV);Â  Ministry of Internal Affairs: National Guard of Ukraine, State Border Guard Service of Ukraine (includes Maritime Border Guard) (2020) |
| Military expenditures: | 3.9% of GDP (2019) |
| Military expenditures: | 3.7% of GDP (2018) |
| Military expenditures: | 2.9% of GDP (2017) |
| Military expenditures: | 3.2% of GDP (2016) |
| Military expenditures: | 3.3% of GDP (2015) |
| Military and security service personnel strengths: | size estimates for the Armed Forces of Ukraine (Zbroyni Syly Ukrayiny, ZSU) vary; approximately 215,000 active troops (160,000 Army, including Airborne/Air Assault Forces; 13,000 Navy; 42,000 Air Force); est. 50,000 National Guard (2019 est.) |
| Military equipment inventories and acquisitions: | the Ukrainian military is equipped mostly with older Russian and Soviet-era weapons systems; since 2010, it has imported limited quantities of weapons from several European countries, as well as Canada, the US, and the United Arab Emirates; Ukraine has a broad defense industry capable of building Soviet-era land systems and maintaining and upgrading Soviet-era combat aircraft, as well as missile and air defense systems (2019 est.) |
| Military deployments: | 250 Democratic Republic of the Congo (MONUSCO); contributes about 550 troops to the Lithuania, Poland, and Ukraine joint military brigade (LITPOLUKRBRIG), which was established in 2014; the brigade is headquartered in Warsaw and is comprised of an international staff, three battalions, and specialized units (2020) |
| Military service age and obligation: | 20-27 years of age for compulsory military service; conscript service obligation is 12 months (2019) |
