| Military and Security | Canada |
| --- | --- |
| Military and security forces: | Canadian Forces: Canadian Army, Royal Canadian Navy, Royal Canadian Air Force, Canadian Joint Operations Command, Canadian Special Operations Forces Command; Primary Reserve (army, air, naval reserves); Coast Guard (Department of Fisheries and Oceans) (2019) |
| Military and security forces: | note: the Army reserves include the Canadian Rangers, which provides a limited presence in Canada's northern, coastal, and isolated areas for sovereignty, public safety, and surveillance roles |
| Military expenditures: | 1.31% of GDP (2019 est.) |
| Military expenditures: | 1.31% of GDP (2018) |
| Military expenditures: | 1.44% of GDP (2017) |
| Military expenditures: | 1.16% of GDP (2016) |
| Military expenditures: | 1.2% of GDP (2015) |
| Military and security service personnel strengths: | the Canadian Armed (CAF) Forces have approximately 66,000 total active personnel (23,000 Army; 8,300 Navy; 12,000 Air Force; 23,000 other uniformed personnel) (2019 est.) |
| Military equipment inventories and acquisitions: | the CAF's inventory is a mix of domestically-produced equipment and imported weapons systems from Australia, Europe, Israel, and the US; since 2010, the leading supplier is the US; Canada's defense industry develops, maintains, and produces a range of equipment, including aircraft, combat vehicles, naval vessels, and associated components (2019 est.) |
| Military deployments: | 540 Latvia (NATO); up to 200 Ukraine; up to 850 Middle East (multiple missions, including support to the Global Coalition to Defeat ISIS and NATO assistance mission Iraq; reduced considerably in 2020 because of COVID 19) (2020) |
| Military service age and obligation: | 17 years of age for voluntary male and female military service (with parental consent); 16 years of age for Reserve and Military College applicants; Canadian citizenship or permanent residence status required; maximum 34 years of age; service obligation 3-9 years (2012) |
