| Military and Security | Mali |
| --- | --- |
| Military expenditures: | 2.87% of GDP (2018) |
| Military expenditures: | 3.01% of GDP (2017) |
| Military expenditures: | 2.58% of GDP (2016) |
| Military expenditures: | 2.36% of GDP (2015) |
| Military expenditures: | 1.52% of GDP (2014) |
| Military and security forces: | Malian Armed Forces (FAMa): Army (Armee de Terre), Republic of Mali Air Force (Force Aerienne de la Republique du Mali, FARM), National Guard (Garde National du Mali), Gendarmerie (2019) |
| Military and security forces: | Note:Â  Mali planned to establish a border guard force in 2019 |
| Military service age and obligation: | 18 years of age for selective compulsory and voluntary military service (men and women); 2-year conscript service obligation (2014) |
| Military - note: | the United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA) has operated in the country since 2013; the Mission's responsibilities include providing security, rebuilding Malian security forces, supporting national political dialogue, and assisting in the reestablishment of Malian government authority; as of July 2019, MINUSMA had more than 16,000 military, police, and civilian personnel deployed (2019) |
