| Military and Security | Rwanda |
| --- | --- |
| Military and security forces: | Rwanda Defense Force (RDF): Rwanda Army (Rwanda Land Force), Rwanda Air Force (Force Aerienne Rwandaise, FAR), Rwanda Reserve Force (2020) |
| Military expenditures: | 1.2% of GDP (2019) |
| Military expenditures: | 1.2% of GDP (2018) |
| Military expenditures: | 1.3% of GDP (2017) |
| Military expenditures: | 1.3% of GDP (2016) |
| Military expenditures: | 1.3% of GDP (2015) |
| Military and security service personnel strengths: | the Rwanda Defense Force (RDF) has approximately 32,500 active personnel (32,000 Army; 500 Air Force) (2019 est.) |
| Military equipment inventories and acquisitions: | the RDF's inventory includes mostly Soviet-era and older Western - mostly French and South African - equipment; Russia is the largest supplier of equipment to the RDF since 2010 (2019 est.) |
| Military deployments: | 1,370 Central African Republic (MINUSCA); 1,090 Sudan (UNAMID); 2,750 South Sudan (UNMISS) (2020) |
| Military service age and obligation: | 18 years of age for voluntary military service; no conscription; Rwandan citizenship is required, as is a 9th-grade education for enlisted recruits and an A-level certificate for officer candidates; enlistment is either as contract (5-years, renewable twice) or career; retirement (for officers and senior NCOs) after 20 years of service or at 40-60 years of age (2013) |
