| Military and Security | Portugal |
| --- | --- |
| Military and security forces: | Portuguese Armed Forces: Portuguese Army (Exercito Portuguesa), Portuguese Navy (Marinha Portuguesa; includes Marine Corps), Portuguese Air Force (Forca Aerea Portuguesa, FAP); Portuguese National Republican Guard (Guarda Nacional Republicana, GNR) (2019) |
| Military and security forces: | note: the GNR is a national gendarmerie force comprised of military personnel with law enforcement, internal security, civil defense, disaster response, and coast guard duties; it is responsible to the Minister of Internal Administration and to the Minister of National Defense; in the event of war or crisis, it may be placed under the Chief of the General Staff of the Armed Forces |
| Military expenditures: | 1.52% of GDP (2019 est.) |
| Military expenditures: | 1.43% of GDP (2018) |
| Military expenditures: | 1.25% of GDP (2017) |
| Military expenditures: | 1.27% of GDP (2016) |
| Military expenditures: | 1.33% of GDP (2015) |
| Military and security service personnel strengths: | the Portuguese Armed Forces have approximately 26,500 active duty personnel (13,000 Army; 7,500 Navy; 6,000 Air Force); 24,700 National Republican Guard (military personnel) (2019 est.) |
| Military equipment inventories and acquisitions: | the Portuguese Armed Forces inventory includes mostly European and US-origin weapons systems along with a smaller mix of domestically-produced equipment; since 2010, Germany and the US are the leading suppliers of armaments to Portugal; Portugal's defense industry is primarily focused on shipbuilding (2019 est.) |
| Military deployments: | 190 Afghanistan (NATO); 200 Central African Republic (MINUSCA/EUTM); up to 120 Baltic States (NATO) (2020) |
| Military service age and obligation: | 18-30 years of age for voluntary or contract military service; no compulsory military service, but conscription possible if insufficient volunteers available; women serve in the armed forces, on naval ships since 1992, but are prohibited from serving in some combatant specialties; contract service lasts for an initial period from two to six years, and can be extended to a maximum of 20 years of service. Voluntary military service lasts 12 months; reserve obligation to age 35 (2017) |
