| Military and Security | Argentina |
| --- | --- |
| Military expenditures: | 0.86% of GDP (2018) |
| Military expenditures: | 0.86% of GDP (2017) |
| Military expenditures: | 0.95% of GDP (2016) |
| Military expenditures: | 0.86% of GDP (2015) |
| Military expenditures: | 0.88% of GDP (2014) |
| Military and security forces: | Argentine Army (Ejercito Argentino), Navy of the Argentine Republic (Armada Republica; includes naval aviation and naval infantry), Argentine Air Force (Fuerza Aerea Argentina, FAA) (2019) |
| Military service age and obligation: | 18-24 years of age for voluntary military service (18-21 requires parental consent); no conscription; if the number of volunteers fails to meet the quota of recruits for a particular year, Congress can authorize the conscription of citizens turning 18 that year for a period not exceeding one year (2012) |
| Military - note: | The Argentine military is a well-organized force constrained by the country's prolonged economic hardship; the military is implementing a modernization plan aimed at making the ground forces lighter and more responsive. |
| Military - note: | President Mauricio Macri in July of 2019 said he would remove a 2006 decree that limited the armed forces to defending against external attacks and banned military involvement in internal security issues.Â  Macri said he wanted the military to be able to collaborate in internal security, primarily by providing logistic support in the border areas. (2018) |
