| Military and Security | Argentina |
| --- | --- |
| Military and security forces: | Armed Forces of the Argentine Republic (Fuerzas Armadas de la Rep̼blica Argentina): Argentine Army (Ejercito Argentino), Navy of the Argentine Republic (Armada Republica; includes naval aviation and naval infantry), Argentine Air Force (Fuerza Aerea Argentina, FAA); Ministry of Security: Gendarmerie, Prefectura Naval (coast guard) (2020) |
| Military expenditures: | 0.7% of GDP (2019) |
| Military expenditures: | 0.7% of GDP (2018) |
| Military expenditures: | 0.9% of GDP (2017) |
| Military expenditures: | 0.8% of GDP (2016) |
| Military expenditures: | 0.9% of GDP (2015) |
| Military and security service personnel strengths: | Argentina's armed forces have approximately 75,000 (45,000 Army; 17,000 Navy; 13,000 Air Force); est. 18,000 Gendarmerie (2019 est.) |
| Military equipment inventories and acquisitions: | the inventory of Argentina's armed forces is a mix of domestically-produced and mostly older imported weapons, largely from Europe and the US; since 2010, France and the US are the leading suppliers of equipment; Argentina has an indigenous defense industry that can produce air, land, and sea systems (2019 est.) |
| Military deployments: | 250 Cyprus (UNFICYP) (2020) |
| Military service age and obligation: | 18-24 years of age for voluntary military service (18-21 requires parental consent); no conscription; if the number of volunteers fails to meet the quota of recruits for a particular year, Congress can authorize the conscription of citizens turning 18 that year for a period not exceeding one year (2012) |
| Military - note: | the Argentine military focuses primarily on border security and counter-narcotics operations; in 2018, the government approved a decree allowing greater latitude for the military in internal security missions, with a focus on logistics support in border areas (2019) |
