| Terrorism | Lebanon |
| --- | --- |
| Terrorist groups - home based: | Abdallah Azzam Brigades (AAB): aim(s): enhance its networks in Lebanon to combat Shia Muslim influence in the country; seeks to disrupt Israel's economy and its efforts to establish security; attack Western interests in the Middle East |
| Terrorist groups - home based: | area(s) of operation: headquartered in the Ayn al-Hilwah Palestinian refugee camp near Sidon in the south (2018) |
| Terrorist groups - home based: | Asbat al-Ansar (AAA): aim(s): overthrow the Lebanese Government, rid Lebanon of Western influences, destroy the state of Israel to seize Jerusalem and, ultimately, establish an Islamic state in the Levant region |
| Terrorist groups - home based: | area(s) of operation: headquartered in the Ayn al-Hilwah Palestinian refugee camp near Sidon in the south (2018) |
| Terrorist groups - home based: | Hizballah: aim(s): accrue military resources and political power and defend its position of strength in Lebanon; destroy the state of Israel; counter the West; provide paramilitary support to Syrian President Bashar al-ASAD's regime |
| Terrorist groups - home based: | area(s) of operation: headquartered in Beirut with a significant presence in the Bekaa Valley and Southern Lebanon |
| Terrorist groups - home based: | note: remains the most capable armed group in the country, enjoying support among many Lebanese Shia and some Christians; receives considerable support from Iran (2018) |
| Terrorist groups - home based: | Islamic State of Iraq and ash-Sham (ISIS) network in Lebanon: aim(s): replace the Lebanese Government with an Islamic state and implement ISIS's strict interpretation of sharia |
| Terrorist groups - home based: | area(s) of operation: operational primarily in the east along the border with Syria; also maintains a presence in Ayn al-Hilweh refugee camp (2018) |
| Terrorist groups - foreign based: | al-Aqsa Martyrs Brigade (AAMB): |
| Terrorist groups - foreign based: | aim(s): bolster its recruitment presence in Lebanon and, ultimately, establish a Palestinian state comprising the West Bank, Gaza Strip, and Jerusalem |
| Terrorist groups - foreign based: | area(s) of operation: recruits youths in Palestinian refugee camps (2018) |
| Terrorist groups - foreign based: | al-Nusrah Front/al-Qa'ida: aim(s): bolster networks in Lebanon and, ultimately, establish a regional Islamic caliphate |
| Terrorist groups - foreign based: | area(s) of operation: in the east in the Bekaa Valley and along the Lebanon-Syria border; targets Lebanese Government institutions, security forces, and Lebanese civilians (2018) |
| Terrorist groups - foreign based: | Islamic Revolutionary Guard Corps -- Qods Force (IRGC-QF): |
| Terrorist groups - foreign based: | aim(s): support Lebanonâ€™s Hezbollah movement to advance Shia agenda through funding, training, and weapons area(s) of operations: Beirut, Bekaa Valley, southern Lebanon |
| Terrorist groups - foreign based: | (2019) |
| Terrorist groups - foreign based: | Palestine Liberation Front (PLF): aim(s): enhance its networks in Lebanon and, ultimately, destroy the state of Israel to establish a secular, Marxist Palestinian state with Jerusalem as its capital |
| Terrorist groups - foreign based: | area(s) of operation: maintains a recruitment and training presence in many refugee camps (2018) |
| Terrorist groups - foreign based: | PFLP-General Command (PFLP-GC): aim(s): enhance recruitment and operational networks in Lebanon |
| Terrorist groups - foreign based: | area(s) of operation: recruits young men living in Palestinian refugee camps, including camps in the Bekaa Valley (2018) |
| Terrorist groups - foreign based: | Popular Front for the Liberation of Palestine (PFLP): aim(s): enhance its recruitment network in Lebanon and, ultimately, establish a secular, Marxist Palestinian state |
| Terrorist groups - foreign based: | area(s) of operation: recruits youths residing in the country's Palestinian refugee camps (2018) |
