| Military and Security | Vietnam |
| --- | --- |
| Military and security forces: | People's Army of Vietnam (PAVN): PAVN Ground Forces, PAVN Navy (includes naval infantry), PAVN Air Force and Air Defense, Border Defense Force, and Vietnam Coast Guard; Vietnam People's Public Security; Vietnam Civil Defense Force (2019) |
| Military expenditures: | 2.3% of GDP (2018) |
| Military expenditures: | 2.3% of GDP (2017) |
| Military expenditures: | 2.5% of GDP (2016) |
| Military expenditures: | 2.4% of GDP (2015) |
| Military expenditures: | 2.3% of GDP (2014) |
| Military and security service personnel strengths: | information is limited and estimates of the size of the Peopleâ€™s Army of Vietnam (PAVN) vary; approximately 475,000 active duty troops (405,000 ground; 40,000 naval; 30,000 air); est. 40,000 Border Defense Force and Coast Guard (2019) |
| Military equipment inventories and acquisitions: | the PAVN is armed largely with weapons and equipment from Russia and the former Soviet Union; Russia remains the main supplier of newer PAVN military equipment, although in recent years Vietnam has begun diversifying its procurement with purchases from other countries including Belarus, India, Israel, and Ukraine (2019 est.) |
| Military service age and obligation: | 18-27 years of age for compulsory and voluntary military service (females eligible for conscription, but in practice only males are drafted); conscription typically takes place twice annually and service obligation is 2 years (Army, Air Defense) and 3 years (Navy and Air Force) (2019) |
| Maritime threats: | the International Maritime Bureau reports the territorial and offshore waters in the South China Sea as high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift; the number of reported incidents increased from two in 2017 to four in 2018, primarily near the port of Vung Tau |
