| Military and Security | Morocco |
| --- | --- |
| Military and security forces: | Royal Armed Forces: Royal Moroccan Army, Royal Moroccan Navy (includes Coast Guard, marines), Royal Moroccan Air Force, Royal Morroccan Gendarmerie, Morroccan Royal Guard (provides security for the royal family; officially part of the Royal Army); Force Auxiliaire (a paramilitary force under the Ministry of Interior that supplements the military and the police as needed) (2019) |
| Military expenditures: | 3.1% of GDP (2019) |
| Military expenditures: | 3.1% of GDP (2018) |
| Military expenditures: | 3.2% of GDP (2017) |
| Military expenditures: | 3.2% of GDP (2016) |
| Military expenditures: | 3.2% of GDP (2015) |
| Military and security service personnel strengths: | the Royal Armed Forces have approximately 197,000 active personnel (175,000 Army; 9,000 Navy; 13,000 Air Force); est. 25,000 Gendarmerie (2019 est.) |
| Military equipment inventories and acquisitions: | the Moroccan military's inventory is comprised of mostly older French and US equipment; since 2010, France and the US are the leading suppliers of weapons to Morocco, followed by China and the Netherlands (2019 est.) |
| Military deployments: | 750 Central African Republic (MINUSCA); 960 Democratic Republic of the Congo (MONUSCO) (2020) |
| Military service age and obligation: | 19 years of age for compulsory military service (reintroduced in 2019); both sexes are obligated to military service; conscript service obligation - 12 months (2019) |
