| Military and Security | Ecuador |
| --- | --- |
| Military and security forces: | Ecuadorian Armed Forces: Ecuadorian Land Force (Fuerza Terrestre Ecuatoriana, FTE), Ecuadorian Navy (Fuerza Naval del Ecuador, FNE, includes naval infantry, naval aviation, coast guard), Ecuadorian Air Force (Fuerza Aerea Ecuatoriana, FAE) (2020) |
| Military expenditures: | 2.3% of GDP (2019) |
| Military expenditures: | 2.4% of GDP (2018) |
| Military expenditures: | 2.4% of GDP (2017) |
| Military expenditures: | 2.5% of GDP (2016) |
| Military expenditures: | 2.6% of GDP (2015) |
| Military and security service personnel strengths: | the Ecuadorian Armed Forces have approximately 40,000 active personnel (25,000 Army; 9,000 Navy; 6,000 Air Force) (2019 est.) |
| Military equipment inventories and acquisitions: | the military's equipment inventory is mostly older and derived from a wide variety of sources; since 2010, the leading suppliers of military hardware are Brazil, the Netherlands, South Africa, and Spain (2019 est.) |
| Military service age and obligation: | 18 years of age for selective conscript military service; conscription has been suspended; 18 years of age for voluntary military service; Air Force 18-22 years of age, Ecuadorian birth requirement; 1-year service obligation (2013) |
| Maritime threats: | the International Maritime Bureau continues to report the territorial and offshore waters as at risk for piracy and armed robbery against ships; vessels, including commercial shipping and pleasure craft, have been attacked and hijacked both at anchor and while underway; crews have been robbed and stores or cargoes stolen; after several years with no incidents, there has been an increase over the last two years with four attacks reported in 2018 |
