| Military and Security | Uruguay |
| --- | --- |
| Military and security forces: | Armed Forces of Uruguay (Fuerzas Armadas del Uruguay): National Army (Ejercito Nacional), National Navy (Armada Nacional, includes Maritime National Prefecture (Coast Guard)), Uruguayan Air Force (Fuerza Aerea); Guardia Nacional Republicana (paramilitary regiment of the National Police) (2020) |
| Military expenditures: | 2% of GDP (2019) |
| Military expenditures: | 2.1% of GDP (2018) |
| Military expenditures: | 2% of GDP (2017) |
| Military expenditures: | 1.9% of GDP (2016) |
| Military expenditures: | 1.8% of GDP (2015) |
| Military and security service personnel strengths: | the Armed Forces of Uruguay have approximately 22,000 active personnel (14,500 Army; 5,000 Navy; 2,500 Air Force); est. 1,400 Guardia Nacional Republicana (2019 est.) |
| Military equipment inventories and acquisitions: | the Armed Forces of Uruguay inventory includes a wide variety of older or second-hand equipment imported from a range of suppliers, including Brazil, Chile, Ecuador, France, Germany, Italy, Portugal, Russia, Spain, and the US (2019 est.) |
| Military deployments: | 900 Democratic Republic of the Congo (MINUSCO); 210 Golan Heights (UNDOF) (2020) |
| Military service age and obligation: | 18-30 years of age (18-22 years of age for Navy) for male or female voluntary military service; up to 40 years of age for specialists; enlistment is voluntary in peacetime, but the government has the authority to conscript in emergencies (2013) |
