| Terrorism | Niger |
| --- | --- |
| Terrorist groups - home based: | Islamic State of Iraq and ash-sham networks in the Greater Sahara (ISGS): |
| Terrorist groups - home based: | aim(s): replace regional governments with an Islamic state |
| Terrorist groups - home based: | area(s) of operation: mostly concentrated along the Mali-Niger border region; targets primarily security forces (April 2018) |
| Terrorist groups - home based: | Islamic State of Iraq and ash-Sham (ISIS)-West Africa: |
| Terrorist groups - home based: | aim(s): implement ISIS's strict interpretation of Sharia; replace the Nigerian Government with an Islamic state |
| Terrorist groups - home based: | area(s) of operation: based primarily in the southeast along the border with Nigeria, with its largest presence in northeast Nigeria and the Lake Chad region; targets primarily regional military installations, especially in the southeastern Diffa region (April 2018) |
| Terrorist groups - foreign based: | al-Mulathamun Battalion: |
| Terrorist groups - foreign based: | aim(s): replace several African governments, including Niger's government, with an Islamic state |
| Terrorist groups - foreign based: | area(s) of operation: conducts attacks against Nigerien military and security personnel; targets Westerners for kidnappings for ransom |
| Terrorist groups - foreign based: | (November 2018) |
| Terrorist groups - foreign based: | al-Qa'ida-affiliated Jama'at Nusrat al-Islam wal-Muslimin (JNIM): |
| Terrorist groups - foreign based: | aim(s): establish an Islamic state centered in Mali |
| Terrorist groups - foreign based: | area(s) of operation: primarily based in northern and central Mali; targets Western and local interests in West Africa and Sahel; has claimed responsibility for attacks in Mali, Niger, and Burkina Faso |
| Terrorist groups - foreign based: | note: pledged allegiance to al-Qa'ida and AQIM; holds Western hostages; wages attacks against security and peacekeeping forces in Mali (April 2018) |
| Terrorist groups - foreign based: | Boko Haram: |
| Terrorist groups - foreign based: | aim(s): establish an Islamic caliphate across Africa |
| Terrorist groups - foreign based: | area(s) of operation: conducts kidnappings, bombings, and assaults; responsible for displacing thousands of people and contributing to food insecurity |
| Terrorist groups - foreign based: | note: violently opposes any political or social activity associated with Western society, including voting, attending secular schools, and wearing Western dress (April 2018) |
