| Military and Security | Algeria |
| --- | --- |
| Military and security forces: | Algerian People's National Army (ANP): Land Forces, Naval Forces (includes coast guard), Air Forces, Territorial Air Defense Forces, Republican Guard; National Gendarmerie (subordinate to the Ministry of National Defense); Ministry of Interior: General Directorate of National Security (2020) |
| Military expenditures: | 6% of GDP (2019) |
| Military expenditures: | 5.5% of GDP (2018) |
| Military expenditures: | 5.81% of GDP (2017) |
| Military expenditures: | 6.55% of GDP (2016) |
| Military expenditures: | 6.32% of GDP (2015) |
| Military and security service personnel strengths: | the Algerian People's National Army (ANP) has approximately 130,000 total active personnel (110,000 Army; 6,000 Navy; 14,000 Air Force); est. 40,000 Gendarmerie |
| Military and security service personnel strengths: | (2019 est.) |
| Military equipment inventories and acquisitions: | the ANP's inventory includes mostly Russian-sourced equipment with smaller amounts from other suppliers, particularly China and Europe; since 2010, Russia is the leading supplier of armaments to Algeria, followed by China, Germany, and Italy (2020) |
| Military service age and obligation: | 18 is the legal minimum age for voluntary military service; 19-30 years of age for compulsory service; conscript service obligation reduced from 18 to 12 months in 2014 (2019) |
