| Military and Security | Finland |
| --- | --- |
| Military and security forces: | Finnish Defense Forces (FDF): Army (Maavoimat), Navy (Merivoimat), Air Force (Ilmavoimat); Ministry of the Interior: Border Guard (Rajavartiolaitos) (2019) |
| Military and security forces: | note: the Border Guard becomes part of the FDF in wartime |
| Military expenditures: | 1.5% of GDP (2019) |
| Military expenditures: | 1.4% of GDP (2018) |
| Military expenditures: | 1.4% of GDP (2017) |
| Military expenditures: | 1.4% of GDP (2016) |
| Military expenditures: | 1.5% of GDP (2015) |
| Military and security service personnel strengths: | estimates for the size of the Finnish Defense Forces (FDF) vary; approximately 23,000 total active duty personnel (16,000 Army; 4,000 Navy; 3,000 Air Force) (2019 est.) |
| Military equipment inventories and acquisitions: | the inventory of the Finnish Defense Forces consists of a wide mix of mostly modern Western and domestically-produced weapons systems, as well as a limited quantity of Soviet-era equipment, particularly artillery and armored personnel carriers; since 2010, France, Italy, the Netherlands, Norway, and the US are the leading foreign suppliers of armaments to Finland; the Finish defense industry produces a variety of military equipment, including wheeled armored vehicles and naval vessels (2019 est.) |
| Military deployments: | 200 Lebanon (UNIFIL) (2020) |
| Military service age and obligation: | at age 18, all Finnish men are obligated to serve 6-12 months of service within a branch of the military or the Border Guard, and women may volunteer for service; after completing their initial conscript obligation, individuals enter the reserves and remain eligible for mobilization until the age of 60 (2019) |
