| Terrorism | Afghanistan |
| --- | --- |
| Terrorist groups - home based: | al-Qa'ida (AQ): |
| Terrorist groups - home based: | aim(s): eject Western influence from the Islamic world, unite the worldwide Muslim community, overthrow governments perceived as un-Islamic, and ultimately, establish a pan-Islamic caliphate under a strict Salafi Muslim interpretation of sharia |
| Terrorist groups - home based: | area(s) of operation: maintains established networks and a longtime operational presence in Afghanistan, especially in the south, northwest, and northeast near the Afghanistan-Pakistan border (April 2018) |
| Terrorist groups - home based: | Islamic Jihad Union (IJU): |
| Terrorist groups - home based: | aim(s): drive NATO forces out of Afghanistan and destabilize the country; overthrow the Government of Uzbekistan |
| Terrorist groups - home based: | area(s) of operation: conducts attacks in collaboration with other extremist groups, including the Taliban, against NATO and Afghan forces across the country, especially in the northern and eastern Paktika, Paktia, and Nangarhar provinces (April 2018) |
| Terrorist groups - home based: | Islamic Movement of Uzbekistan (IMU): |
| Terrorist groups - home based: | aim(s): enhance its networks and secure territory in Afghanistan to establish a secure presence from which it can pursue its historic goal of establishing an Islamic state in the Fergana Valley, a fertile valley spread across eastern Uzbekistan, southern Kyrgyzstan, and northern Tajikistan |
| Terrorist groups - home based: | area(s) of operation: operates mostly in the north along the Afghanistan-Pakistan border, with its heaviest presence in Badakhshan Province, where IMU has operated paramilitary training camps and bases |
| Terrorist groups - home based: | note: the IMU is fractured and mostly supports ISIS-K although some members have continued working with the Taliban (April 2018) |
| Terrorist groups - home based: | Islamic State of Iraq and ash-Sham-Khorasan (ISIS-K): |
| Terrorist groups - home based: | aim(s): establish an Islamic caliphate in Afghanistan, Pakistan, and parts of Central Asia; counter Westerners and Shia Muslims |
| Terrorist groups - home based: | area(s) of operation: stronghold in Nangarhar Province near the Afghanistan-Pakistan border and operating in Kunar, Laghman, Jowzjan provinces with pockets of support throughout Afghanistan |
| Terrorist groups - home based: | note: recruits from among the local population, Central Asian extremists in Afghanistan, and other militant groups, such as Tehrik-e Taliban Pakistan, the Afghan Taliban, and the Islamic Movement of Uzbekistan (April 2018) |
| Terrorist groups - home based: | Tehrik-e-Taliban Pakistan (TTP): |
| Terrorist groups - home based: | aim(s): drive foreign troops from Afghanistan; remove Pakistani forces from Pakistan's Federally Administered Tribal Areas (FATA) and, ultimately, overthrow the Pakistan Government to implement TTP's strict interpretation of sharia |
| Terrorist groups - home based: | area(s) of operation: headquartered in several eastern Afghanistan provinces near the Afghanistan-Pakistan border; operates primarily along the northeastern Afghanistan-Pakistan border, especially in Kunar and Paktika provinces, where TTP has established sanctuaries (April 2018) |
| Terrorist groups - foreign based: | al-Qa'ida in the Indian Subcontinent (AQIS): |
| Terrorist groups - foreign based: | aim(s): establish an Islamic caliphate in the Indian subcontinent |
| Terrorist groups - foreign based: | area(s) of operation: heaviest presence is in Afghanistan, especially in the eastern and southern regions, where most of the Afghan-based leaders are located |
| Terrorist groups - foreign based: | note: targets primarily Afghan military and security personnel and US interests (April 2018) |
| Terrorist groups - foreign based: | Haqqani Taliban Network (HQN): |
| Terrorist groups - foreign based: | aim(s): expel US and Coalition forces and replace the Afghan Government with an Islamic state operating according to a strict Salafi Muslim interpretation of sharia under the Afghan Taliban |
| Terrorist groups - foreign based: | area(s) of operation: stages attacks from Kurram and North Waziristan Agency in Pakistan's Federally Administered Tribal Areas (FATA) across from Afghanistan's southeastern border; operational throughout the country, especially in Kabul and Paktiya and Khost provinces |
