| Military and Security | Angola |
| --- | --- |
| Military and security forces: | Angolan Armed Forces (Forcas Armadas Angolanas, FAA): Army, Navy (Marinha de Guerra Angola, MGA), Angolan National Air Force (Forca Aerea Nacional Angolana, FANA; under operational control of the Army); Rapid Reaction Police (paramilitary) (2019) |
| Military expenditures: | 1.6% of GDP (2019) |
| Military expenditures: | 1.8% of GDP (2018) |
| Military expenditures: | 2.4% of GDP (2017) |
| Military expenditures: | 3% of GDP (2016) |
| Military expenditures: | 3.5% of GDP (2015) |
| Military and security service personnel strengths: | the Angolan Armed Forces (FAA) are comprised of approximately 107,000 active troops (100,000 Army; 1,000 Navy; 6,000 Air Force); est. 10,000 Rapid Reaction Police (2019) |
| Military equipment inventories and acquisitions: | most Angolan Armed Forces weapons and equipment are of Russian, Soviet, or Warsaw Pact origin; Russia remains Angola's top supplier of military hardware, followed by Belarus and China (2019) |
| Military service age and obligation: | 20-45 years of age for compulsory male and 18-45 years for voluntary male military service (registration at age 18 is mandatory); 20-45 years of age for voluntary female service; 2-year conscript service obligation; Angolan citizenship required; the Navy (MGA) is entirely staffed with volunteers (2019) |
