| Military and Security | Portugal |
| --- | --- |
| Military expenditures: | 1.52% of GDP (2019 est.) |
| Military expenditures: | 1.43% of GDP (2018) |
| Military expenditures: | 1.25% of GDP (2017) |
| Military expenditures: | 1.27% of GDP (2016) |
| Military expenditures: | 1.33% of GDP (2015) |
| Military and security forces: | Portuguese Armed Forces:Â  Portuguese Army (Exercito Portuguesa), Portuguese Navy (Marinha Portuguesa; includes Marine Corps), Portuguese Air Force (Forca Aerea Portuguesa, FAP); Portuguese National Republican Guard (Guarda Nacional Republicana, GNR) (2019) |
| Military and security forces: | Note:Â  the GNR is a national gendarmerie force comprised of military personnel with law enforcement, internal security, civil defense, disaster response, and coast guard duties; it is responsible to the Minister of Internal Administration and to the Minister of National Defense; in the event of war or crisis, it may be placed under the Chief of the General Staff of the Armed Forces |
| Military service age and obligation: | 18-30 years of age for voluntary or contract military service; no compulsory military service, but conscription possible if insufficient volunteers available; women serve in the armed forces, on naval ships since 1992, but are prohibited from serving in some combatant specialties; contract service lasts for an initial period from two to six years, and can be extended to a maximum of 20 years of service. Voluntary military service lasts 12 months; reserve obligation to age 35 |
| Military service age and obligation: | (2017) |
