| Military and Security | Bolivia |
| --- | --- |
| Military and security forces: | Bolivian Armed Forces: Bolivian Army (Ejercito Boliviano, EB), Bolivian Naval Force (Fuerza Naval Boliviana, FNB, includes Marines), Bolivian Air Force (Fuerza Aerea Boliviana, FAB); Ministry of Interior: National Police (PolicÃ­a Nacional de Bolivia, PNB; includes Anti-Narcotics Special Forces (Fuerza Especial de Lucha Contra el NarcotrÃ¡fico, FELCN) and other paramilitary units (2020) |
| Military expenditures: | 1.4% of GDP (2019) |
| Military expenditures: | 1.5% of GDP (2018) |
| Military expenditures: | 1.5% of GDP (2017) |
| Military expenditures: | 1.6% of GDP (2016) |
| Military expenditures: | 1.7% of GDP (2015) |
| Military and security service personnel strengths: | size assessments for the Bolivian Armed Forces vary; approximately 39,000 total active troops (26,000 Army; 5,500 Navy; 7,500 Air Force) (2019 est.) |
| Military equipment inventories and acquisitions: | the Bolivian Armed Forces are equipped with a mix of mostly Brazilian, Chinese, European, and US equipment; since 2010, China and France are the leading suppliers of military hardware to Bolivia (2019 est.) |
| Military service age and obligation: | 16-49 years of age for 12-month voluntary male and female military service; Bolivian citizenship required; minimum age for combat duty is 18; when annual number of volunteers falls short of goal, compulsory recruitment is effected, including conscription of boys as young as 14; 15-19 years of age for voluntary premilitary service, provides exemption from further military service (2017) |
