| Military and Security | Italy |
| --- | --- |
| Military and security forces: | Italian Armed Forces: Army (Esercito Italiano, EI), Navy (Marina Militare Italiana, MMI; includes aviation, marines), Italian Air Force (Aeronautica Militare Italiana, AMI), Carabinieri Corps (Arma dei Carabinieri, CC) (2019) |
| Military and security forces: | note(s): the Financial Guard (Guardia di Finanza) under the Ministry of Economy and Finance is a force with military status and nationwide remit for financial crime investigations, including narcotics trafficking, smuggling, and illegal immigration |
| Military expenditures: | 1.22% of GDP (2019 est.) |
| Military expenditures: | 1.21% of GDP (2018) |
| Military expenditures: | 1.21% of GDP (2017) |
| Military expenditures: | 1.18% of GDP (2016) |
| Military expenditures: | 1.07% of GDP (2015) |
| Military and security service personnel strengths: | the Italian Armed Forces have approximately 271,000 active personnel, including the Carabinieri (96,000 Army; 28,000 Navy; 40,000 Air Force; 107,000 Carabinieri) (2019 est.) |
| Military equipment inventories and acquisitions: | the Italian Armed Forces' inventory includes a mix of domestically-produced, jointly-produced, and imported European and US weapons systems; the US is the leading supplier of weapons to Italy since 2010, followed by Germany; the Italian defense industry is capable of producing equipment across all the military domains with particular strengths in naval vessels and aircraft; it also participates in joint development and production of advanced weapons systems with other European countries and the US (2019) |
| Military deployments: | 900 Afghanistan (NATO); 120 Djibouti; 1,100 Middle East/Iraq/Kuwait (NATO, counter-ISIS campaign, European Assistance Mission Iraq); 620 Kosovo (NATO); 200 Latvia (NATO); 1,050 Lebanon (UNIFIL); 400 Libya; 290 Niger; 150 Somalia (EUTM); 100 United Arab Emirates (April 2020) |
| Military service age and obligation: | 18-25 years of age for voluntary military service; women may serve in any military branch; Italian citizenship required; 1-year service obligation (2013) |
