| Military and Security | Zimbabwe |
| --- | --- |
| Military and security forces: | Zimbabwe Defense Forces (ZDF): Zimbabwe National Army (ZNA), Air Force of Zimbabwe (AFZ) (2020) |
| Military expenditures: | 1% of GDP (2019) |
| Military expenditures: | 1.2% of GDP (2018) |
| Military expenditures: | 1.5% of GDP (2017) |
| Military expenditures: | 1.7% of GDP (2016) |
| Military expenditures: | 1.9% of GDP (2015) |
| Military and security service personnel strengths: | size estimates for the Zimbabwe Defense Forces (ZDF) vary; approximately 30,000 active duty troops, including about 4,000 serving in the Air Force (2019 est.) |
| Military equipment inventories and acquisitions: | the ZDF inventory is comprised mostly of older Chinese- and Russian-origin equipment; since 2000, China is the leading arms supplier to the ZDF, although there are no recorded deliveries of weapons since 2006 (2019 est.) |
| Military service age and obligation: | 18-22 years of age for voluntary military service (18-24 for officer cadets; 18-30 for technical/specialist personnel); no conscription; women are eligible to serve (2019) |
| Military - note: | the ZDF was formed after independence from the former Rhodesian Army and the two guerrilla forces that opposed it during the Rhodesian Civil War (aka "Bush War") of the 1970s, the Zimbabwe African National Liberation Army (ZANLA) and the Zimbabwe People's Revolutionary Army (ZIPRA); internal security is a key current responsibility, and the military continues to play an active role in the countryâ€™s politics since the coup of 2017 (2020) |
