| Military and Security | United Kingdom |
| --- | --- |
| Military and security forces: | British Army, Royal Navy (includes Royal Marines), Royal Air Force (2019) |
| Military expenditures: | 2.14% of GDP (est) (2019 est.) |
| Military expenditures: | 2.13% of GDP (2018) |
| Military expenditures: | 2.11% of GDP (2017) |
| Military expenditures: | 2.11% of GDP (2016) |
| Military expenditures: | 2.05% of GDP (2015) |
| Military and security service personnel strengths: | the British military has approximately 149,000 total active duty troops (83,000 Army; 33,000 Navy, including 7,000 marines; 33,000 Air Force) (2020) |
| Military equipment inventories and acquisitions: | the inventory of the British military is comprised of a mix of domestically-produced and imported Western weapons systems; the US is the leading supplier of armaments to the UK since 2010; the UK defense industry is capable of producing a wide variety of air, land, and sea weapons systems (2019 est.) |
| Military deployments: | 950 Afghanistan (NATO); approximately 1,000 Brunei; more than 400 Canada (BATUS); est. 2,200 Cyprus; 250 Cyprus (UNFICYP); 900 Estonia (NATO); approx. 1,200 Falkland Islands; est. 200 Germany (note - previously about 2,500, but the UK pledged to remove all but 200 troops by the end of 2020); 570 Gibraltar; approx. 1,300 Middle East (coalition against ISIS; NATO); up to 350 Kenya (BATUK); 400 Mali (EUTM, MINUSMA, and Operation Barkhane; 150 Poland (NATO) (2020) |
| Military service age and obligation: | slight variations by service, but generally 16-36 years of age for enlisted (with parental consent under 18) and 18-29 for officers; minimum length of service 4 years; women serve in military services including ground combat roles (2019) |
