| Military and Security | India |
| --- | --- |
| Military and security forces: | Indian Armed Forces: Army, Navy (includes marines), Air Force, Coast Guard; Defense Security Corps (paramilitary forces); Ministry of Home Affairs paramilitary forces: Central Armed Police Force (includes Assam Rifles, Border Security Force, Central Industrial Security Force, Central Reserve Police Force, Indo-Tibetan Border Police, National Security Guards, Sashastra Seema Bal) (2019) |
| Military expenditures: | 2.4% of GDP (2019) |
| Military expenditures: | 2.4% of GDP (2018) |
| Military expenditures: | 2.5% of GDP (2017) |
| Military expenditures: | 2.5% of GDP (2016) |
| Military expenditures: | 2.4% of GDP (2015) |
| Military and security service personnel strengths: | assessments of the size of the Indian Armed Forces vary; approximately 1.45 million active personnel (est. 1.25 million Army; 66,000 Navy; 140,000 Air Force; 11,000 Coast Guard); est. 1.5 million paramilitary forces (Ministry of Defense and Ministry of Home Affairs) (2019) |
| Military equipment inventories and acquisitions: | the inventory of the Indian Armed Forces consists mostly of Russian-origin equipment, along with a smaller mix of Western and domestically-produced arms; since 2010, Russia is the leading supplier of arms to India, followed by France, Israel, the UK, and the US; India's defense industry is capable of producing a range of air, land, missile, and naval weapons systems (2019) |
| Military deployments: | 1,900 Democratic Republic of the Congo (MONUSCO); 190 Golan Heights (UNDOF); 780 Lebanon (UNIFIL); 2,350 South Sudan (UNMISS) (2020) |
| Military service age and obligation: | 16-18 years of age for voluntary military service (Army 17 1/2, Air Force 17, Navy 16 1/2); no conscription; women may join as officers, currently serve in combat roles as pilots, and under consideration for Army combat roles (2019) |
