| Military | South Africa |
| --- | --- |
| Military branches: | South African National Defense Force (SANDF): South African Army, South African Navy (SAN), South African Air Force (SAAF), Joint Operations Command, Military Intelligence, South African Military Health Services (2009) |
| Military service age and obligation: | 18 years of age for voluntary military service; women are eligible to serve in noncombat roles; 2-year service obligation (2007) |
| Manpower available for military service: | males age 16-49: 13,508,255 |
| Manpower available for military service: | females age 16-49: 12,541,371 (2010 est.) |
| Manpower fit for military service: | males age 16-49: 7,676,331 |
| Manpower fit for military service: | females age 16-49: 6,521,338 (2010 est.) |
| Manpower reaching militarily significant age annually: | male: 492,743 |
| Manpower reaching militarily significant age annually: | female: 496,374 (2010 est.) |
| Military expenditures: | 1.7% of GDP (2006) |
| Military - note: | with the end of apartheid and the establishment of majority rule, former military, black homelands forces, and ex-opposition forces were integrated into the South African National Defense Force (SANDF); as of 2003 the integration process was considered complete |
