| Military and Security | France |
| --- | --- |
| Military and security forces: | Army (Armee de Terre; includes Foreign Legion), Navy (Marine Nationale), Air Force (Armee de l'Air (AdlA); includes Air Defense), National Guard (Reserves), National Gendarmerie (paramilitary police force that is a branch of the Armed Forces but under the jurisdiction of the Ministry of the Interior; also has additional duties to the Ministry of Defense and the Ministry of Justice) (2019) |
| Military expenditures: | 1.84% of GDP (2019 est.) |
| Military expenditures: | 1.82% of GDP (2018) |
| Military expenditures: | 1.78% of GDP (2017) |
| Military expenditures: | 1.79% of GDP (2016) |
| Military expenditures: | 1.78% of GDP (2015) |
| Military and security service personnel strengths: | the French military has approximately 205,000 active duty troops (114,500 Army; 35,000 Navy; 40,500 Air Force; 15,000 other, such as joint staffs, medical service, etc.); approximately 100,000 National Gendarmerie (2019) |
| Military equipment inventories and acquisitions: | the French military's inventory consists almost entirely of domestically-produced weapons systems, including some jointly-produced with other European countries; there is a limited mix of armaments from other Western countries, particularly the US; since 2010, the US is the leading foreign supplier of military hardware to France; France has a defense industry capable of manufacturing the full spectrum of air, land, and naval military weapons systems (2019 est.) |
| Military deployments: | 5,100 Burkina Faso/Chad/Mali/Niger (Operation Barkhane); 900 Cote D'Ivoire; 1,450 Djibouti; 300 Baltics (NATO); 2,000 French Guyana; 900 French Polynesia; 1,000 French West Indies; 350 Gabon; est. 500 Middle East (Iraq/Jordan/Syria); 780 Lebanon (UNIFIL); 1,400-1,500 New Caledonia; 1,700 Reunion Island; 350 Senegal; 650 United Arab Emirates; note - France has been a contributing member of the EuroCorps since 1992 (2020) |
| Military service age and obligation: | 18-25 years of age for male and female voluntary military service; no conscription; 1-year service obligation; women serve in noncombat posts (2013) |
