| Military | Cuba |
| --- | --- |
| Military branches: | Revolutionary Armed Forces (FAR): Revolutionary Army (ER), Revolutionary Navy (Marina de Guerra Revolucionaria, MGR), Revolutionary Air and Air Defense Force (DAAFAR), Youth Labor Army (EJT) (2007) |
| Military service age and obligation: | 17-28 years of age for compulsory military service; 2-year service obligation; both sexes subject to military service (2006) |
| Manpower available for military service: | males age 17-49: 2,967,865 |
| Manpower available for military service: | females age 17-49: 2,913,559 (2005 est.) |
| Manpower fit for military service: | males age 17-49: 2,441,927 |
| Manpower fit for military service: | females age 17-49: 2,396,741 (2005 est.) |
| Manpower reaching military service age annually: | males age 18-49: 91,901 |
| Manpower reaching military service age annually: | females age 18-49: 87,500 (2005 est.) |
| Military expenditures - percent of GDP: | 3.8% (2006 est.) |
| Military - note: | Moscow, for decades the key military supporter and supplier of Cuba, cut off almost all military aid by 1993 |
