| Military and Security | Iran |
| --- | --- |
| Military and security forces: | Islamic Republic of Iran Regular Forces (Artesh): Ground Forces, Navy (includes marines), Air Force, Air Defense Forces; Islamic Revolutionary Guard Corps (Sepah, IRGC): Ground Forces, Navy (includes marines), Aerospace Force (controls strategic missile force), Qods Force (special operations), Cyber Command, Basij Paramilitary Forces (Popular Mobilization Army); Law Enforcement Forces (border and security troops, assigned to the armed forces in wartime) (2019) |
| Military expenditures: | 3.8% of GDP (2019 est.) |
| Military expenditures: | 6.1% of GDP (2018) |
| Military expenditures: | 5.3% of GDP (2017 est.) |
| Military expenditures: | 4.1% of GDP (2016 est.) |
| Military expenditures: | 4.3% of GDP (2015 est.) |
| Military expenditures: | (Estimates) |
| Military and security service personnel strengths: | assessments of the size of the armed forces of Iran vary; approximately 600,000 total active personnel including 410,000 Islamic Republic of Iran Regular Forces (350,000 Ground Forces; 18,000 Navy; 45,000 Air Force/Air Defense Forces) and 190,000 Islamic Revolutionary Guard Corps (150,000 Ground Forces; 20,000 Navy; 15,000 Aerospace Force; 5,000 Qods Force); est. 90,000 active Basij Paramilitary Forces; est. 50,000 Law Enforcement Forces |
| Military and security service personnel strengths: | (2019 est.) |
| Military equipment inventories and acquisitions: | the Iranian military's inventory includes a mix of domestically-produced and mostly older foreign equipment largely of Chinese, Russian, Soviet, and US origin (US equipment acquired prior to the Islamic Revolution in 1979); weapons imports from Western countries are restricted by international sanctions; since 2010, Iran has received equipment from Belarus, China, and Russia; Iran has a defense industry with the capacity to develop, produce, support, and sustain air, land, missile, and naval weapons programs (2020) |
| Military deployments: | est. 1,000 Syria (2020) |
| Military deployments: | note: Iran has recruited, trained, and funded thousands of Syrian and foreign fighters to support the ASAD regime during the Syrian civil war |
| Military service age and obligation: | 18 years of age for compulsory military service; 16 years of age for volunteers; 17 years of age for Law Enforcement Forces; 15 years of age for Basij Forces (Popular Mobilization Army); conscript military service obligation is 18-24 months; women exempt from military service (2019) |
| Maritime threats: | the Maritime Administration of the US Department of Transportation has issued a Maritime Advisory (2019-012-Persian Gulf, Strait of Hormuz, Gulf of Oman, Arabian Sea, Red Sea-Threats to US and International Shipping from Iran) effective 7 August 2019, which states in part that "heightened military activities and increased political tensions in this region continue to present risk to commercial shipping...there is a continued possibility that Iran and/or its regional proxies could take actions against US and partner interests in the region;" at present, Iran has seized two foreign-flagged tankers in the Persian Gulf; the US and UK navies have established Operation Sentinel to provide escorts for commercial shipping transiting the Persian Gulf, Strait of Hormuz, and Gulf of Oman |
