| Military and Security | Guatemala |
| --- | --- |
| Military and security forces: | Army of Guatemala (Ejercito de Guatemala): Land Forces (Fuerzas de Tierra), Naval Forces (Fuerza de Mar), and Air Force (Fuerza de Aire); Ministry of Interior: National Civil Police (Policia Nacional Civil; includes paramilitary units) (2020) |
| Military expenditures: | 0.4% of GDP (2019) |
| Military expenditures: | 0.4% of GDP (2018) |
| Military expenditures: | 0.4% of GDP (2017) |
| Military expenditures: | 0.4% of GDP (2016) |
| Military expenditures: | 0.4% of GDP (2015) |
| Military and security service personnel strengths: | assessments of the size of the Army of Guatemala vary; approximately 21,500 active personnel (19,000 Land Forces; 1,500 Naval Forces; 1,000 Air Forces); approximately 30,000 National Civil Police (2019 est.) |
| Military equipment inventories and acquisitions: | the Guatemalan military inventory is small and mostly comprised of older US equipment; since 2010, Guatemala has received limited amounts of equipment from Canada, Colombia, Spain, Taiwan, and the US (2019 est.) |
| Military deployments: | 150 Democratic Republic of the Congo (MONUSCO) (2020) |
| Military service age and obligation: | all male citizens between the ages of 18 and 50 are eligible for military service; in practice, most of the force is volunteer, however, a selective draft system is employed, resulting in a small portion of 17-21 year-olds conscripted; conscript service obligation varies from 1 to 2 years; women can serve as officers (2013) |
